freqs [eV],Lambda [1/ps]
0.000000,0.004674
0.002500,0.005237
0.005000,0.006898
0.007500,0.009586
0.010000,0.013180
0.012500,0.017504
0.015000,0.022295
0.017500,0.027172
0.020000,0.031618
0.022500,0.035019
0.025000,0.036755
0.027500,0.036346
0.030000,0.033580
0.032500,0.028604
0.035000,0.021919
0.037500,0.014293
0.040000,0.006617
0.042500,-0.000269
0.045000,-0.005721
0.047500,-0.009393
0.050000,-0.011260
0.052500,-0.011579
0.055000,-0.010779
0.057500,-0.009330
0.060000,-0.007624
0.062500,-0.005906
0.065000,-0.004267
0.067500,-0.002683
0.070000,-0.001078
0.072500,0.000626
0.075000,0.002482
0.077500,0.004519
0.080000,0.006737
0.082500,0.009102
0.085000,0.011526
0.087500,0.013849
0.090000,0.015843
0.092500,0.017246
0.095000,0.017824
0.097500,0.017448
0.100000,0.016160
0.102500,0.014195
0.105000,0.011967
0.107500,0.009997
0.110000,0.008805
0.112500,0.008790
0.115000,0.010136
0.117500,0.012754
0.120000,0.016312
0.122500,0.020319
0.125000,0.024247
0.127500,0.027646
0.130000,0.030206
0.132500,0.031770
0.135000,0.032286
0.137500,0.031773
0.140000,0.030297
0.142500,0.027991
0.145000,0.025095
0.147500,0.021968
0.150000,0.019068
0.152500,0.016876
0.155000,0.015780
0.157500,0.015979
0.160000,0.017412
0.162500,0.019765
0.165000,0.022535
0.167500,0.025138
0.170000,0.027029
0.172500,0.027807
0.175000,0.027272
0.177500,0.025449
0.180000,0.022568
0.182500,0.019011
0.185000,0.015240
0.187500,0.011722
0.190000,0.008857
0.192500,0.006925
0.195000,0.006057
0.197500,0.006228
0.200000,0.007267
0.202500,0.008888
0.205000,0.010733
0.207500,0.012427
0.210000,0.013647
0.212500,0.014191
0.215000,0.014022
0.217500,0.013297
0.220000,0.012339
0.222500,0.011590
0.225000,0.011523
0.227500,0.012563
0.230000,0.015005
0.232500,0.018947
0.235000,0.024248
0.237500,0.030513
0.240000,0.037118
0.242500,0.043273
0.245000,0.048137
0.247500,0.050960
0.250000,0.051233
0.252500,0.048821
0.255000,0.044022
0.257500,0.037545
0.260000,0.030385
0.262500,0.023628
0.265000,0.018219
0.267500,0.014766
0.270000,0.013429
0.272500,0.013924
0.275000,0.015641
0.277500,0.017838
0.280000,0.019849
0.282500,0.021241
0.285000,0.021890
0.287500,0.021949
0.290000,0.021747
0.292500,0.021642
0.295000,0.021897
0.297500,0.022600
0.300000,0.023646
0.302500,0.024781
0.305000,0.025672
0.307500,0.025995
0.310000,0.025506
0.312500,0.024105
0.315000,0.021862
0.317500,0.019014
0.320000,0.015929
0.322500,0.013035
0.325000,0.010730
0.327500,0.009295
0.330000,0.008835
0.332500,0.009259
0.335000,0.010322
0.337500,0.011695
0.340000,0.013052
0.342500,0.014148
0.345000,0.014859
0.347500,0.015195
0.350000,0.015264
0.352500,0.015234
0.355000,0.015273
0.357500,0.015509
0.360000,0.016003
0.362500,0.016748
0.365000,0.017678
0.367500,0.018698
0.370000,0.019702
0.372500,0.020581
0.375000,0.021229
0.377500,0.021542
0.380000,0.021430
0.382500,0.020848
0.385000,0.019829
0.387500,0.018512
0.390000,0.017125
0.392500,0.015937
0.395000,0.015175
0.397500,0.014935
0.400000,0.015148
0.402500,0.015593
