freqs [eV],Lambda [1/ps]
0.795000,2.543682
0.797500,2.523223
0.800000,2.497442
0.802500,2.467094
0.805000,2.435448
0.807500,2.407923
0.810000,2.391017
0.812500,2.390744
0.815000,2.410969
0.817500,2.452088
0.820000,2.510448
0.822500,2.578758
0.825000,2.647463
0.827500,2.706752
0.830000,2.748679
0.832500,2.768806
0.835000,2.766953
0.837500,2.746904
0.840000,2.715229
0.842500,2.679609
0.845000,2.647120
0.847500,2.622847
0.850000,2.609086
0.852500,2.605182
0.855000,2.607942
0.857500,2.612466
0.860000,2.613215
0.862500,2.605106
0.865000,2.584447
0.867500,2.549568
0.870000,2.501061
0.872500,2.441617
0.875000,2.375502
0.877500,2.307760
0.880000,2.243304
0.882500,2.186062
0.885000,2.138386
0.887500,2.100859
0.890000,2.072524
0.892500,2.051434
0.895000,2.035295
0.897500,2.022017
0.900000,2.010009
0.902500,1.998241
0.905000,1.986138
0.907500,1.973441
0.910000,1.960089
0.912500,1.946154
0.915000,1.931768
0.917500,1.917086
0.920000,1.902313
0.922500,1.887886
0.925000,1.874782
0.927500,1.864846
0.930000,1.860898
0.932500,1.866427
0.935000,1.884839
0.937500,1.918438
0.940000,1.967501
0.942500,2.029810
0.945000,2.100830
0.947500,2.174482
0.950000,2.244234
0.952500,2.304177
0.955000,2.349832
0.957500,2.378596
0.960000,2.389877
0.962500,2.385022
0.965000,2.367115
0.967500,2.340642
0.970000,2.310957
0.972500,2.283511
0.975000,2.262908
0.977500,2.251996
0.980000,2.251306
0.982500,2.259062
0.985000,2.271803
0.987500,2.285399
0.990000,2.296114
0.992500,2.301387
0.995000,2.300222
0.997500,2.293226
1.000000,2.282442
1.002500,2.271026
1.005000,2.262755
1.007500,2.261269
1.010000,2.269113
1.012500,2.286782
1.015000,2.312141
1.017500,2.340540
1.020000,2.365743
1.022500,2.381497
1.025000,2.383247
1.027500,2.369471
1.030000,2.342177
1.032500,2.306429
1.035000,2.269049
1.037500,2.236910
