freqs [eV],Lambda [1/ps]
0.000000,0.077225
0.002500,0.080116
0.005000,0.088978
0.007500,0.104354
0.010000,0.127076
0.012500,0.158103
0.015000,0.198237
0.017500,0.247687
0.020000,0.305579
0.022500,0.369584
0.025000,0.435895
0.027500,0.499762
0.030000,0.556549
0.032500,0.603064
0.035000,0.638667
0.037500,0.665674
0.040000,0.688819
0.042500,0.713891
0.045000,0.746001
0.047500,0.788098
0.050000,0.840211
0.052500,0.899625
0.055000,0.961900
0.057500,1.022348
0.060000,1.077511
0.062500,1.126218
0.065000,1.169928
0.067500,1.212386
0.070000,1.258784
0.072500,1.314825
0.075000,1.385960
0.077500,1.476877
0.080000,1.591072
0.082500,1.730223
0.085000,1.893266
0.087500,2.075402
0.090000,2.267557
0.092500,2.456836
0.095000,2.628200
0.097500,2.767077
0.100000,2.862170
0.102500,2.907589
0.105000,2.903722
0.107500,2.856708
0.110000,2.776852
0.112500,2.676571
0.115000,2.568407
0.117500,2.463450
0.120000,2.370258
0.122500,2.294240
0.125000,2.237477
0.127500,2.199015
0.130000,2.175722
0.132500,2.163667
0.135000,2.159709
0.137500,2.162755
0.140000,2.174072
0.142500,2.196370
0.145000,2.231894
0.147500,2.280331
0.150000,2.337513
0.152500,2.395588
0.155000,2.444688
0.157500,2.475424
0.160000,2.481209
0.162500,2.459566
0.165000,2.412127
0.167500,2.343615
0.170000,2.260446
0.172500,2.169626
0.175000,2.078270
0.177500,1.993696
0.180000,1.923717
0.182500,1.876604
0.185000,1.860317
0.187500,1.880888
0.190000,1.940262
0.192500,2.034347
0.195000,2.152190
0.197500,2.277017
0.200000,2.389259
0.202500,2.470880
0.205000,2.509675
0.207500,2.502098
0.210000,2.453657
0.212500,2.376816
0.215000,2.287252
0.217500,2.199792
0.220000,2.125316
0.222500,2.069348
0.225000,2.032356
0.227500,2.011224
0.230000,2.001117
0.232500,1.997120
0.235000,1.995378
0.237500,1.993762
0.240000,1.992194
0.242500,1.992677
0.245000,1.998894
0.247500,2.015246
0.250000,2.045383
0.252500,2.090620
0.255000,2.148843
0.257500,2.214430
0.260000,2.279382
0.262500,2.335321
0.265000,2.375663
0.267500,2.397230
0.270000,2.400802
0.272500,2.390614
0.275000,2.373129
0.277500,2.355633
0.280000,2.345035
0.282500,2.346998
0.285000,2.365256
0.287500,2.400931
0.290000,2.451800
0.292500,2.511783
0.295000,2.571106
0.297500,2.617557
0.300000,2.638900
0.302500,2.625945
0.305000,2.575290
0.307500,2.490703
0.310000,2.382443
0.312500,2.264656
0.315000,2.151680
0.317500,2.054542
0.320000,1.978778
0.322500,1.924152
0.325000,1.886145
0.327500,1.858486
0.330000,1.835765
0.332500,1.815282
0.335000,1.797649
0.337500,1.786177
0.340000,1.785502
0.342500,1.800140
0.345000,1.833586
0.347500,1.888222
0.350000,1.965844
0.352500,2.068260
0.355000,2.197311
0.357500,2.353957
0.360000,2.536547
0.362500,2.738953
0.365000,2.949533
0.367500,3.151737
0.370000,3.326597
0.372500,3.456563
0.375000,3.529463
0.377500,3.541289
0.380000,3.496856
0.382500,3.408230
0.385000,3.291501
0.387500,3.162925
0.390000,3.035527
0.392500,2.916993
0.395000,2.809316
0.397500,2.710223
0.400000,2.615856
0.402500,2.523824
0.405000,2.435547
0.407500,2.357048
0.410000,2.297901
0.412500,2.268729
0.415000,2.278168
0.417500,2.330366
0.420000,2.423816
0.422500,2.551778
0.425000,2.703872
0.427500,2.868050
0.430000,3.032084
0.432500,3.184187
0.435000,3.313029
0.437500,3.407929
0.440000,3.460011
0.442500,3.464520
0.445000,3.423549
0.447500,3.347775
0.450000,3.255797
