freqs [eV],Lambda [1/ps]
0.000000,-0.012029
0.002500,-0.011525
0.005000,-0.010139
0.007500,-0.008220
0.010000,-0.006270
0.012500,-0.004810
0.015000,-0.004190
0.017500,-0.004368
0.020000,-0.004733
0.022500,-0.004056
0.025000,-0.000645
0.027500,0.007261
0.030000,0.020954
0.032500,0.040713
0.035000,0.065449
0.037500,0.092672
0.040000,0.118834
0.042500,0.139984
0.045000,0.152579
0.047500,0.154291
0.050000,0.144612
0.052500,0.125113
0.055000,0.099248
0.057500,0.071725
0.060000,0.047531
0.062500,0.030828
0.065000,0.023979
0.067500,0.026932
0.070000,0.037150
0.072500,0.050139
0.075000,0.060501
0.077500,0.063235
0.080000,0.054964
0.082500,0.034716
0.085000,0.004070
0.087500,-0.033327
0.090000,-0.072672
0.092500,-0.109061
0.095000,-0.138438
0.097500,-0.158262
0.100000,-0.167809
0.102500,-0.168059
0.105000,-0.161217
0.107500,-0.149977
0.110000,-0.136753
0.112500,-0.123082
0.115000,-0.109347
0.117500,-0.094849
0.120000,-0.078099
0.122500,-0.057239
0.125000,-0.030490
0.127500,0.003351
0.130000,0.044369
0.132500,0.090979
0.135000,0.139558
0.137500,0.184524
0.140000,0.219096
0.142500,0.236753
0.145000,0.233081
0.147500,0.207393
0.150000,0.163477
0.152500,0.109031
0.155000,0.053871
0.157500,0.007462
0.160000,-0.023372
0.162500,-0.035797
0.165000,-0.031016
0.167500,-0.013224
0.170000,0.011976
0.172500,0.039021
0.175000,0.063261
0.177500,0.081182
0.180000,0.090238
0.182500,0.088625
0.185000,0.075270
0.187500,0.050103
0.190000,0.014482
0.192500,-0.028485
0.195000,-0.073988
0.197500,-0.116135
0.200000,-0.149145
0.202500,-0.168873
0.205000,-0.174150
0.207500,-0.167379
0.210000,-0.153992
0.212500,-0.140798
0.215000,-0.133765
0.217500,-0.136076
0.220000,-0.147196
0.222500,-0.163312
0.225000,-0.178861
0.227500,-0.188504
0.230000,-0.188760
0.232500,-0.178789
0.235000,-0.160223
0.237500,-0.136315
0.240000,-0.110836
0.242500,-0.087098
0.245000,-0.067319
0.247500,-0.052373
0.250000,-0.041924
0.252500,-0.034842
0.255000,-0.029815
0.257500,-0.025944
0.260000,-0.023129
0.262500,-0.022045
0.265000,-0.023726
0.267500,-0.028905
0.270000,-0.037441
0.272500,-0.048129
0.275000,-0.059015
0.277500,-0.068140
0.280000,-0.074393
0.282500,-0.078100
0.285000,-0.081015
0.287500,-0.085651
0.290000,-0.094134
0.292500,-0.107023
0.295000,-0.122632
0.297500,-0.137206
0.300000,-0.145988
0.302500,-0.144833
0.305000,-0.131737
0.307500,-0.107690
0.310000,-0.076490
0.312500,-0.043607
0.315000,-0.014507
0.317500,0.006983
0.320000,0.019767
0.322500,0.025754
0.325000,0.029322
0.327500,0.036149
0.330000,0.051688
0.332500,0.079587
0.335000,0.120382
0.337500,0.170752
0.340000,0.223642
0.342500,0.269403
0.345000,0.297848
0.347500,0.300786
0.350000,0.274306
0.352500,0.220036
0.355000,0.144868
0.357500,0.059155
0.360000,-0.025997
0.362500,-0.101447
0.365000,-0.161842
0.367500,-0.206088
0.370000,-0.236518
0.372500,-0.257204
0.375000,-0.272090
0.377500,-0.283497
0.380000,-0.291387
0.382500,-0.293487
0.385000,-0.286129
0.387500,-0.265494
0.390000,-0.228882
0.392500,-0.175694
0.395000,-0.107931
0.397500,-0.030214
0.400000,0.050635
0.402500,0.126327
0.405000,0.188105
0.407500,0.227915
0.410000,0.239640
0.412500,0.220231
0.415000,0.170476
0.417500,0.095173
0.420000,0.002520
0.422500,-0.097253
0.425000,-0.193734
0.427500,-0.278158
0.430000,-0.344624
0.432500,-0.390366
0.435000,-0.415096
0.437500,-0.419922
0.440000,-0.406471
0.442500,-0.376748
0.445000,-0.333747
0.447500,-0.282362
0.450000,-0.229840
0.452500,-0.185158
0.455000,-0.157179
0.457500,-0.152069
0.460000,-0.170941
0.462500,-0.208795
0.465000,-0.255404
0.467500,-0.298110
0.470000,-0.325669
0.472500,-0.331818
0.475000,-0.317235
0.477500,-0.289159
0.480000,-0.258792
0.482500,-0.237435
0.485000,-0.232723
0.487500,-0.246277
0.490000,-0.273470
0.492500,-0.305289
0.495000,-0.331498
0.497500,-0.343940
0.500000,-0.338832
0.502500,-0.317415
0.505000,-0.284944
0.507500,-0.248611
0.510000,-0.215264
0.512500,-0.189636
0.515000,-0.173494
0.517500,-0.165684
0.520000,-0.162852
0.522500,-0.160526
0.525000,-0.154301
0.527500,-0.140913
0.530000,-0.118962
0.532500,-0.089094
0.535000,-0.053540
0.537500,-0.015139
0.540000,0.023776
0.542500,0.062137
0.545000,0.100162
0.547500,0.138613
0.550000,0.177650
0.552500,0.215894
0.555000,0.250249
0.557500,0.276631
0.560000,0.291296
0.562500,0.292134
0.565000,0.279317
0.567500,0.255063
0.570000,0.222705
0.572500,0.185578
0.575000,0.146234
0.577500,0.106205
0.580000,0.066214
0.582500,0.026566
0.585000,-0.012594
0.587500,-0.051202
0.590000,-0.089317
0.592500,-0.127124
0.595000,-0.164802
0.597500,-0.202300
0.600000,-0.239174
0.602500,-0.274551
0.605000,-0.307245
0.607500,-0.335885
0.610000,-0.358977
0.612500,-0.374872
0.615000,-0.381805
0.617500,-0.378121
0.620000,-0.362715
0.622500,-0.335497
0.625000,-0.297596
0.627500,-0.251130
