freqs [eV],Lambda [1/ps]
0.000000,0.094762
0.002500,0.097866
0.005000,0.107342
0.007500,0.123674
0.010000,0.147625
0.012500,0.180087
0.015000,0.221760
0.017500,0.272663
0.020000,0.331570
0.022500,0.395629
0.025000,0.460440
0.027500,0.520779
0.030000,0.571886
0.032500,0.610957
0.035000,0.638232
0.037500,0.657193
0.040000,0.673651
0.042500,0.694009
0.045000,0.723306
0.047500,0.763746
0.050000,0.814226
0.052500,0.870939
0.055000,0.928764
0.057500,0.982938
0.060000,1.030463
0.062500,1.070906
0.065000,1.106467
0.067500,1.141462
0.070000,1.181474
0.072500,1.232475
0.075000,1.300076
0.077500,1.388932
0.080000,1.502167
0.082500,1.640710
0.085000,1.802537
0.087500,1.982040
0.090000,2.169887
0.092500,2.353704
0.095000,2.519668
0.097500,2.654734
0.100000,2.748939
0.102500,2.797120
0.105000,2.799603
0.107500,2.761775
0.110000,2.692781
0.112500,2.603814
0.115000,2.506421
0.117500,2.411114
0.120000,2.326364
0.122500,2.257956
0.125000,2.208650
0.127500,2.178181
0.130000,2.163750
0.132500,2.161074
0.135000,2.165862
0.137500,2.175256
0.140000,2.188609
0.142500,2.207148
0.145000,2.232564
0.147500,2.265174
0.150000,2.302560
0.152500,2.339396
0.155000,2.368587
0.157500,2.383189
0.160000,2.378254
0.162500,2.351885
0.165000,2.305226
0.167500,2.241656
0.170000,2.165740
0.172500,2.082513
0.175000,1.997381
0.177500,1.916520
0.180000,1.847346
0.182500,1.798457
0.185000,1.778646
0.187500,1.794932
0.190000,1.850107
0.192500,1.940643
0.195000,2.055894
0.197500,2.179190
0.200000,2.290797
0.202500,2.372055
0.205000,2.409568
0.207500,2.398242
0.210000,2.342337
0.212500,2.254244
0.215000,2.151377
0.217500,2.052055
0.220000,1.971496
0.222500,1.918924
0.225000,1.896411
0.227500,1.899557
0.230000,1.919605
0.232500,1.946292
0.235000,1.970643
0.237500,1.987047
0.240000,1.994191
0.242500,1.994771
0.245000,1.994161
0.247500,1.998491
0.250000,2.012710
0.252500,2.039173
0.255000,2.077113
0.257500,2.123044
0.260000,2.171836
0.262500,2.218018
0.265000,2.256864
0.267500,2.285022
0.270000,2.300681
0.272500,2.303478
0.275000,2.294369
0.277500,2.275600
0.280000,2.250731
0.282500,2.224546
0.285000,2.202676
0.287500,2.190856
0.290000,2.193867
0.292500,2.214363
0.295000,2.251802
0.297500,2.301778
0.300000,2.356044
0.302500,2.403519
0.305000,2.432342
0.307500,2.432695
0.310000,2.399590
0.312500,2.334593
0.315000,2.245645
0.317500,2.144849
0.320000,2.044965
0.322500,1.955948
0.325000,1.882828
0.327500,1.825585
0.330000,1.780787
0.332500,1.744116
0.335000,1.712682
0.337500,1.686412
0.340000,1.668277
0.342500,1.663624
0.345000,1.679043
0.347500,1.721159
0.350000,1.795559
0.352500,1.905898
0.355000,2.053171
0.357500,2.235124
0.360000,2.445824
0.362500,2.675483
0.365000,2.910656
0.367500,3.135003
0.370000,3.330722
0.372500,3.480639
0.375000,3.570711
0.377500,3.592498
0.380000,3.545089
0.382500,3.435939
0.385000,3.280288
0.387500,3.099010
0.390000,2.915108
0.392500,2.749468
0.395000,2.616842
0.397500,2.523204
0.400000,2.465421
0.402500,2.433467
0.405000,2.414575
0.407500,2.397926
0.410000,2.378312
0.412500,2.357601
0.415000,2.343740
0.417500,2.347921
0.420000,2.381011
0.422500,2.450353
0.425000,2.557654
0.427500,2.698202
0.430000,2.861390
0.432500,3.032314
0.435000,3.194162
0.437500,3.330947
0.440000,3.430084
0.442500,3.484309
0.445000,3.492628
0.447500,3.460205
0.450000,3.397280
0.452500,3.317307
0.455000,3.234572
0.457500,3.161623
0.460000,3.106978
0.462500,3.073626
0.465000,3.058757
0.467500,3.054933
0.470000,3.052536
0.472500,3.042964
0.475000,3.021689
0.477500,2.990138
0.480000,2.955548
0.482500,2.928513
0.485000,2.918857
0.487500,2.931257
0.490000,2.962391
0.492500,3.000904
0.495000,3.030399
0.497500,3.034397
0.500000,3.001406
0.502500,2.928321
0.505000,2.821164
0.507500,2.693283
0.510000,2.561978
0.512500,2.444687
0.515000,2.355624
0.517500,2.303297
0.520000,2.289074
0.522500,2.306955
0.525000,2.344766
0.527500,2.386798
0.530000,2.417524
0.532500,2.425546
0.535000,2.406639
0.537500,2.365021
0.540000,2.312479
0.542500,2.265682
0.545000,2.242465
0.547500,2.257961
0.550000,2.321307
0.552500,2.433374
0.555000,2.585817
0.557500,2.761656
0.560000,2.937573
0.562500,3.087866
0.565000,3.189546
0.567500,3.227501
0.570000,3.198247
0.572500,3.110881
0.575000,2.984596
0.577500,2.843293
0.580000,2.708982
0.582500,2.596243
0.585000,2.509676
0.587500,2.445092
0.590000,2.393699
0.592500,2.347366
0.595000,2.302781
0.597500,2.262981
0.600000,2.235996
0.602500,2.231602
0.605000,2.257714
0.607500,2.317836
0.610000,2.410179
0.612500,2.528300
0.615000,2.662628
0.617500,2.802222
0.620000,2.936332
0.622500,3.055598
0.625000,3.152789
0.627500,3.223043
0.630000,3.263665
0.632500,3.273714
0.635000,3.253756
0.637500,3.206013
0.640000,3.134852
0.642500,3.047201
0.645000,2.952397
0.647500,2.861257
0.650000,2.784535
0.652500,2.731223
0.655000,2.707133
0.657500,2.713951
0.660000,2.748784
0.662500,2.804203
0.665000,2.868925
0.667500,2.929343
0.670000,2.971908
0.672500,2.985954
0.675000,2.966143
0.677500,2.913656
0.680000,2.835635
0.682500,2.743058
0.685000,2.647872
0.687500,2.560405
0.690000,2.487847
0.692500,2.433953
0.695000,2.399612
0.697500,2.383629
0.700000,2.383221
0.702500,2.394135
0.705000,2.410673
0.707500,2.426081
0.710000,2.433622
0.712500,2.428227
0.715000,2.408209
0.717500,2.376311
0.720000,2.339442
0.722500,2.306980
0.725000,2.288046
0.727500,2.288641
0.730000,2.309646
0.732500,2.346386
0.735000,2.389912
0.737500,2.429539
0.740000,2.455802
0.742500,2.462897
0.745000,2.449923
0.747500,2.420721
0.750000,2.382555
0.752500,2.344226
0.755000,2.314261
0.757500,2.299655
0.760000,2.305263
0.762500,2.333604
0.765000,2.384741
0.767500,2.455998
0.770000,2.541654
0.772500,2.633034
0.775000,2.719371
0.777500,2.789521
0.780000,2.834111
0.782500,2.847392
0.785000,2.828230
0.787500,2.780012
0.790000,2.709759
0.792500,2.626873
0.795000,2.541873
0.797500,2.465169
0.800000,2.405818
0.802500,2.370267
0.805000,2.361342
0.807500,2.377831
0.810000,2.414975
0.812500,2.465792
0.815000,2.522895
