nmfreq,tauO,tauO,tauO,tauO,cO,cO,cO,cO,omegaO,omegaO,omegaO,omegaO
0,0,1,2,3,0,1,2,3,0,1,2,3
0.0000000e+00,1.6925647e+00,1.2563848e+00,7.5243469e-01,4.2316489e-01,3.8602183e+00,2.7458138e+00,2.5839920e+00,2.3299883e+00,1.9614998e+00,4.1427700e+00,6.2294788e+00,8.8783825e+00
4.1855441e-01,2.8390506e+00,1.4987496e+00,7.6171037e-01,4.0530961e-01,3.4228414e+00,2.7610455e+00,2.7214867e+00,2.5098655e+00,2.0118409e+00,3.9857489e+00,6.0363380e+00,8.6897979e+00
4.1864781e-01,2.8396183e+00,1.4985977e+00,7.6174077e-01,4.0530537e-01,3.4226699e+00,2.7612183e+00,2.7213937e+00,2.5099134e+00,2.0118537e+00,3.9857174e+00,6.0363685e+00,8.6897658e+00
5.8579313e-01,4.0399841e+00,1.6410740e+00,7.6870298e-01,3.9959178e-01,3.1931741e+00,2.7562872e+00,2.7700261e+00,2.5790814e+00,2.0570342e+00,3.9388794e+00,5.9708914e+00,8.6222672e+00
5.8597617e-01,4.0413932e+00,1.6416317e+00,7.6872197e-01,3.9958450e-01,3.1930164e+00,2.7560454e+00,2.7701426e+00,2.5792016e+00,2.0571085e+00,3.9388684e+00,5.9707614e+00,8.6221484e+00
8.3610048e-01,9.8226937e+00,1.9916105e+00,7.8952640e-01,3.9277803e-01,2.8531132e+00,2.6990420e+00,2.8255305e+00,2.6844511e+00,2.1421387e+00,3.8983016e+00,5.8856215e+00,8.5231938e+00
8.3684733e-01,9.8226916e+00,1.9989373e+00,7.8999841e-01,3.9272987e-01,2.8535147e+00,2.6964095e+00,2.8257456e+00,2.6855641e+00,2.1426938e+00,3.8988346e+00,5.8849763e+00,8.5222046e+00
1.1690778e+00,9.8226948e+00,8.9297225e+00,1.5848410e+00,4.0520495e-01,2.9034215e+00,2.3029585e+00,2.2632734e+00,3.0999709e+00,2.3954036e+00,4.1954423e+00,6.0279811e+00,8.2616261e+00
1.1705407e+00,9.8226948e+00,8.9297225e+00,1.5894503e+00,4.0539856e-01,2.9029230e+00,2.3034858e+00,2.2612315e+00,3.1000082e+00,2.3963827e+00,4.1966032e+00,6.0294744e+00,8.2624017e+00
1.2516323e+00,9.8226948e+00,8.9297225e+00,1.8076744e+00,4.1579420e-01,2.8711498e+00,2.3230266e+00,2.1795893e+00,3.0900164e+00,2.4499439e+00,4.2543502e+00,6.1002417e+00,8.3120681e+00
1.2525834e+00,9.8226948e+00,8.9297225e+00,1.8097421e+00,4.1590901e-01,2.8707354e+00,2.3231578e+00,2.1789434e+00,3.0897923e+00,2.4505669e+00,4.2549614e+00,6.1009535e+00,8.3127086e+00
1.2541507e+00,9.8226948e+00,8.9297225e+00,1.8132996e+00,4.1609959e-01,2.8700522e+00,2.3233801e+00,2.1778191e+00,3.0894601e+00,2.4515939e+00,4.2559702e+00,6.1021212e+00,8.3137044e+00
1.6641489e+00,9.8226948e+00,8.9297225e+00,2.0767706e+00,4.4757539e-01,2.6531973e+00,2.2826566e+00,2.1037295e+00,2.9770736e+00,2.7330204e+00,4.4707790e+00,6.3017566e+00,8.5465617e+00
1.6701111e+00,9.8226948e+00,8.9297225e+00,2.0748723e+00,4.4780021e-01,2.6498757e+00,2.2812194e+00,2.1038787e+00,2.9756080e+00,2.7374649e+00,4.4738161e+00,6.3040742e+00,8.5494778e+00
1.7473563e+00,9.8226948e+00,8.9297225e+00,2.0439282e+00,4.5028793e-01,2.6073620e+00,2.2614447e+00,2.1067590e+00,2.9567604e+00,2.7963140e+00,4.5143039e+00,6.3346589e+00,8.5877748e+00
1.7522852e+00,9.8226948e+00,8.9297225e+00,2.0416861e+00,4.5042247e-01,2.6046877e+00,2.2601158e+00,2.1069616e+00,2.9555856e+00,2.8001504e+00,4.5169655e+00,6.3366457e+00,8.5902144e+00
2.0726563e+00,9.8226948e+00,8.9297225e+00,1.8313700e+00,4.5332605e-01,2.4500127e+00,2.1590303e+00,2.1279841e+00,2.8740820e+00,3.0744475e+00,4.7229810e+00,6.4914690e+00,8.7714383e+00
2.0842832e+00,9.8226948e+00,8.9297225e+00,1.8213966e+00,4.5322836e-01,2.4454453e+00,2.1549189e+00,2.1291369e+00,2.8704804e+00,3.0854941e+00,4.7322177e+00,6.4987032e+00,8.7797467e+00
2.3181524e+00,9.8226948e+00,8.9297215e+00,1.5665359e+00,4.4738742e-01,2.3811985e+00,2.0711661e+00,2.1697516e+00,2.7641888e+00,3.3311335e+00,4.9687170e+00,6.7028898e+00,9.0214688e+00
2.3298084e+00,9.8226948e+00,8.9297225e+00,1.5505690e+00,4.4686996e-01,2.3797592e+00,2.0673914e+00,2.1732888e+00,2.7559221e+00,3.3447455e+00,4.9839761e+00,6.7177297e+00,9.0399317e+00
2.4761706e+00,9.8226948e+00,8.1108709e+00,1.3829730e+00,4.4112417e-01,2.3717958e+00,2.0568931e+00,2.2072064e+00,2.6205752e+00,3.5193819e+00,5.2034846e+00,6.9681107e+00,9.3525315e+00
2.4837347e+00,9.8226947e+00,7.9760638e+00,1.3802870e+00,4.4108920e-01,2.3711510e+00,2.0600046e+00,2.2057689e+00,2.6133702e+00,3.5278617e+00,5.2151192e+00,6.9837565e+00,9.3706698e+00
2.4962233e+00,9.8226946e+00,7.8648244e+00,1.3782531e+00,4.4108711e-01,2.3703748e+00,2.0631219e+00,2.2031466e+00,2.6029708e+00,3.5416660e+00,5.2335586e+00,7.0077721e+00,9.3981589e+00
2.8737195e+00,9.8226948e+00,8.9297224e+00,1.9789753e+00,4.5944739e-01,2.2974489e+00,2.0835657e+00,1.9375750e+00,2.5536288e+00,3.8818150e+00,5.6096009e+00,7.4419777e+00,9.7193876e+00
2.8790217e+00,9.8226948e+00,8.9297225e+00,1.9891228e+00,4.5976678e-01,2.2956909e+00,2.0834701e+00,1.9345475e+00,2.5534922e+00,3.8861054e+00,5.6134718e+00,7.4458375e+00,9.7215949e+00
2.9017189e+00,9.8226948e+00,8.9297225e+00,2.0308440e+00,4.6110279e-01,2.2880515e+00,2.0827935e+00,1.9223632e+00,2.5526828e+00,3.9044511e+00,5.6298111e+00,7.4619589e+00,9.7311710e+00
2.9054904e+00,9.8226948e+00,8.9297225e+00,2.0370315e+00,4.6132278e-01,2.2867531e+00,2.0826112e+00,1.9205826e+00,2.5524547e+00,3.9074893e+00,5.6324622e+00,7.4645373e+00,9.7328416e+00
3.2643454e+00,9.8226948e+00,8.9297225e+00,2.2670674e+00,4.7446240e-01,2.1539897e+00,2.0270559e+00,1.8408199e+00,2.5143738e+00,4.2033263e+00,5.8646032e+00,7.6634565e+00,9.8943360e+00
3.3116462e+00,9.8226948e+00,8.9297225e+00,2.2493741e+00,4.7514632e-01,2.1369734e+00,2.0155933e+00,1.8392858e+00,2.5070617e+00,4.2445882e+00,5.8955722e+00,7.6875280e+00,9.9185563e+00
3.4275627e+00,9.8226948e+00,8.9297224e+00,2.1827097e+00,4.7595187e-01,2.0979799e+00,1.9851493e+00,1.8387425e+00,2.4873882e+00,4.3493096e+00,5.9758491e+00,7.7495848e+00,9.9825729e+00
3.4666388e+00,9.8226948e+00,8.9297225e+00,2.1539994e+00,4.7596732e-01,2.0859667e+00,1.9742439e+00,1.8394223e+00,2.4799686e+00,4.3859213e+00,6.0047814e+00,7.7720718e+00,1.0006256e+01
3.6471072e+00,9.8226948e+00,8.9297225e+00,1.9906917e+00,4.7426917e-01,2.0412042e+00,1.9211403e+00,1.8464957e+00,2.4375982e+00,4.5655899e+00,6.1571041e+00,7.8944281e+00,1.0137454e+01
3.6723886e+00,9.8226948e+00,8.9297225e+00,1.9636330e+00,4.7377902e-01,2.0367163e+00,1.9135345e+00,1.8481189e+00,2.4300048e+00,4.5923757e+00,6.1817022e+00,7.9151318e+00,1.0160159e+01
3.7142559e+00,9.8226948e+00,8.9297225e+00,1.9168030e+00,4.7281054e-01,2.0304805e+00,1.9010587e+00,1.8511451e+00,2.4161447e+00,4.6377344e+00,6.2247540e+00,7.9522171e+00,1.0201151e+01
3.9614263e+00,9.8226948e+00,8.9297221e+00,1.6546337e+00,4.6513241e-01,2.0234853e+00,1.8490490e+00,1.8673345e+00,2.2924048e+00,4.9236623e+00,6.5409373e+00,8.2692808e+00,1.0563421e+01
4.0210828e+00,9.8226948e+00,8.9297224e+00,1.6520179e+00,4.6483005e-01,2.0230450e+00,1.8478929e+00,1.8556392e+00,2.2642330e+00,4.9888962e+00,6.6192291e+00,8.3595104e+00,1.0659240e+01
4.0232073e+00,9.8226948e+00,8.9297225e+00,1.6525552e+00,4.6485001e-01,2.0229742e+00,1.8479130e+00,1.8550631e+00,2.2633547e+00,4.9911322e+00,6.6218792e+00,8.3626000e+00,1.0662416e+01
4.1128882e+00,9.8226948e+00,8.9297225e+00,1.7187050e+00,4.6664290e-01,2.0164305e+00,1.8511591e+00,1.8190252e+00,2.2374744e+00,5.0807879e+00,6.7252193e+00,8.4829913e+00,1.0774171e+01
4.3853713e+00,9.8226948e+00,8.9297220e+00,2.0886036e+00,4.7766300e-01,1.9640446e+00,1.8494768e+00,1.6971292e+00,2.2132567e+00,5.3226210e+00,6.9645131e+00,8.7373057e+00,1.0962918e+01
4.4783265e+00,9.8226948e+00,8.9297225e+00,2.1748088e+00,4.8088076e-01,1.9402171e+00,1.8402157e+00,1.6723553e+00,2.2066910e+00,5.4024065e+00,7.0328223e+00,8.8002637e+00,1.1010781e+01
4.5071163e+00,9.8226948e+00,8.9297225e+00,2.1926450e+00,4.8173189e-01,1.9326049e+00,1.8365040e+00,1.6666076e+00,2.2043247e+00,5.4272456e+00,7.0534122e+00,8.8184491e+00,1.1025462e+01
4.5700836e+00,9.8226948e+00,8.9297225e+00,2.2177229e+00,4.8331503e-01,1.9158708e+00,1.8272056e+00,1.6566145e+00,2.1986075e+00,5.4820323e+00,7.0981325e+00,8.8569557e+00,1.1057910e+01
4.7390950e+00,9.8226948e+00,8.9297225e+00,2.2001177e+00,4.8574615e-01,1.8725934e+00,1.7954885e+00,1.6434881e+00,2.1792147e+00,5.6338938e+00,7.2204044e+00,8.9574774e+00,1.1150799e+01
4.7982069e+00,9.8226948e+00,8.9297225e+00,2.1700445e+00,4.8597572e-01,1.8588922e+00,1.7825218e+00,1.6423660e+00,2.1707405e+00,5.6892923e+00,7.2656715e+00,8.9939371e+00,1.1186913e+01
4.8965181e+00,9.8226948e+00,8.9297225e+00,2.0993882e+00,4.8562960e-01,1.8389446e+00,1.7593710e+00,1.6432497e+00,2.1540044e+00,5.7848827e+00,7.3462798e+00,9.0592581e+00,1.1253835e+01
4.9760498e+00,9.8226948e+00,8.9297225e+00,2.0235014e+00,4.8462484e-01,1.8262574e+00,1.7394613e+00,1.6466843e+00,2.1368391e+00,5.8659865e+00,7.4182400e+00,9.1189102e+00,1.1317438e+01
5.0814018e+00,9.8226948e+00,8.9297225e+00,1.8972979e+00,4.8207576e-01,1.8159546e+00,1.7124057e+00,1.6556924e+00,2.1060031e+00,5.9798675e+00,7.5271715e+00,9.2137532e+00,1.1423266e+01
5.1059501e+00,9.8226948e+00,8.9297225e+00,1.8636805e+00,4.8124848e-01,1.8148570e+00,1.7062090e+00,1.6587030e+00,2.0968984e+00,6.0076141e+00,7.5554402e+00,9.2395890e+00,1.1453091e+01
5.2806766e+00,9.8226948e+00,8.9297218e+00,1.6065756e+00,4.7348262e-01,1.8215762e+00,1.6715112e+00,1.6901896e+00,2.0017096e+00,6.2159123e+00,7.7921449e+00,9.4830686e+00,1.1752225e+01
5.4114671e+00,9.8226947e+00,8.9297221e+00,1.5501317e+00,4.7151908e-01,1.8271895e+00,1.6689832e+00,1.6845508e+00,1.9314440e+00,6.3624986e+00,7.9710988e+00,9.6972946e+00,1.2004886e+01
5.4524648e+00,9.8226948e+00,8.9297224e+00,1.5714304e+00,4.7225912e-01,1.8259420e+00,1.6710555e+00,1.6717963e+00,1.9191256e+00,6.4038306e+00,8.0192713e+00,9.7559769e+00,1.2064200e+01
5.6295160e+00,9.8226948e+00,8.9297225e+00,1.7768625e+00,4.7875865e-01,1.8074459e+00,1.6790898e+00,1.5938623e+00,1.9004746e+00,6.5678275e+00,8.1943627e+00,9.9581592e+00,1.2228656e+01
5.6591804e+00,9.8226948e+00,8.9297220e+00,1.8187426e+00,4.8002985e-01,1.8028484e+00,1.6794217e+00,1.5809320e+00,1.8998316e+00,6.5940597e+00,8.2201156e+00,9.9857250e+00,1.2247621e+01
5.7284957e+00,9.8226948e+00,8.9297225e+00,1.9128041e+00,4.8294737e-01,1.7909723e+00,1.6785834e+00,1.5538103e+00,1.8985708e+00,6.6547893e+00,8.2776595e+00,1.0045067e+01,1.2288116e+01
5.8419266e+00,9.8226948e+00,8.9297225e+00,2.0396301e+00,4.8716247e-01,1.7691808e+00,1.6724948e+00,1.5195849e+00,1.8956227e+00,6.7536860e+00,8.3663169e+00,1.0130665e+01,1.2348545e+01
5.9055316e+00,9.8226948e+00,8.9297225e+00,2.0884828e+00,4.8909352e-01,1.7562840e+00,1.6667260e+00,1.5058988e+00,1.8928145e+00,6.8094910e+00,8.4143581e+00,1.0174495e+01,1.2382000e+01
6.0316242e+00,9.8226948e+00,8.9297225e+00,2.1332513e+00,4.9184254e-01,1.7307443e+00,1.6511329e+00,1.4883454e+00,1.8843898e+00,6.9221611e+00,8.5092272e+00,1.0257317e+01,1.2451264e+01
6.0317238e+00,9.8226948e+00,8.9297225e+00,2.1331509e+00,4.9184203e-01,1.7307231e+00,1.6511137e+00,1.4883568e+00,1.8843722e+00,6.9222512e+00,8.5092995e+00,1.0257377e+01,1.2451338e+01
6.1395198e+00,9.8226948e+00,8.9297222e+00,2.1215277e+00,4.9302264e-01,1.7103657e+00,1.6342785e+00,1.4809968e+00,1.8738690e+00,7.0218747e+00,8.5931551e+00,1.0328416e+01,1.2516811e+01
6.3204210e+00,9.8226948e+00,8.9297224e+00,2.0225230e+00,4.9258084e-01,1.6834800e+00,1.6012368e+00,1.4791083e+00,1.8470633e+00,7.1989669e+00,8.7490486e+00,1.0461740e+01,1.2651273e+01
