nmfreq,tauO,tauO,tauO,cO,cO,cO,omegaO,omegaO,omegaO
0,0,1,2,0,1,2,0,1,2
0.0000000e+00,2.2884211e+00,7.0404577e-01,3.8293884e-01,3.3143885e+00,3.4898589e+00,3.4531001e+00,1.8913917e+00,3.9193237e+00,6.7103551e+00
4.1842366e-01,7.7560921e+00,8.2939176e-01,3.7475527e-01,2.7255606e+00,3.4414468e+00,3.7915885e+00,1.9405122e+00,3.6820617e+00,6.3944461e+00
4.1855441e-01,7.8813905e+00,8.3032101e-01,3.7461166e-01,2.7201534e+00,3.4405408e+00,3.7965236e+00,1.9393959e+00,3.6766916e+00,6.3874598e+00
4.1864781e-01,7.8862854e+00,8.3038783e-01,3.7460764e-01,2.7200032e+00,3.4404498e+00,3.7966536e+00,1.9394182e+00,3.6766463e+00,6.3873436e+00
5.0166029e-01,9.8226948e+00,9.6099284e-01,3.7381976e-01,2.7092751e+00,3.2142765e+00,3.9384584e+00,1.9737263e+00,3.7121092e+00,6.2945701e+00
5.0210840e-01,9.8226948e+00,9.6212016e-01,3.7382318e-01,2.7095913e+00,3.2124441e+00,3.9393975e+00,1.9739657e+00,3.7125154e+00,6.2939741e+00
5.0226529e-01,9.8226948e+00,9.6251220e-01,3.7382495e-01,2.7097013e+00,3.2118097e+00,3.9397200e+00,1.9740495e+00,3.7126578e+00,6.2937716e+00
5.8527034e-01,9.8226948e+00,1.2304088e+00,3.7689236e-01,2.7664418e+00,2.8775138e+00,4.0907744e+00,2.0234266e+00,3.7933901e+00,6.1994426e+00
5.8579313e-01,9.8226948e+00,1.2392594e+00,3.7697151e-01,2.7670689e+00,2.8685740e+00,4.0962924e+00,2.0233655e+00,3.7923757e+00,6.1934608e+00
5.8597617e-01,9.8226948e+00,1.2400032e+00,3.7698343e-01,2.7671859e+00,2.8678766e+00,4.0965590e+00,2.0234849e+00,3.7925652e+00,6.1933059e+00
6.6804446e-01,9.8226948e+00,1.6150340e+00,3.8489761e-01,2.8099628e+00,2.6098528e+00,4.1719406e+00,2.0786765e+00,3.8764859e+00,6.1617989e+00
6.6888039e-01,9.8226948e+00,1.6193443e+00,3.8499928e-01,2.8102917e+00,2.6076895e+00,4.1723727e+00,2.0792367e+00,3.8772798e+00,6.1617401e+00
6.6947786e-01,9.8226948e+00,1.6224992e+00,3.8507071e-01,2.8105315e+00,2.6061051e+00,4.1727038e+00,2.0796397e+00,3.8778509e+00,6.1616764e+00
7.5155002e-01,9.8226948e+00,2.0555403e+00,3.9605284e-01,2.8313260e+00,2.4446697e+00,4.1862865e+00,2.1332485e+00,3.9490531e+00,6.1798265e+00
7.5249044e-01,9.8226948e+00,2.0605261e+00,3.9618633e-01,2.8314446e+00,2.4432895e+00,4.1862019e+00,2.1338449e+00,3.9497879e+00,6.1802163e+00
7.5316260e-01,9.8226948e+00,2.0641014e+00,3.9628061e-01,2.8315291e+00,2.4423040e+00,4.1861411e+00,2.1342722e+00,3.9503164e+00,6.1804952e+00
8.3505557e-01,9.8226948e+00,2.4663611e+00,4.0794021e-01,2.8323791e+00,2.3547855e+00,4.1651233e+00,2.1845584e+00,4.0079711e+00,6.2241754e+00
8.3610048e-01,9.8226948e+00,2.4764864e+00,4.0821177e-01,2.8318750e+00,2.3526161e+00,4.1657430e+00,2.1847317e+00,4.0072074e+00,6.2228240e+00
8.3684733e-01,9.8226948e+00,2.4796775e+00,4.0831589e-01,2.8318017e+00,2.3520903e+00,4.1654471e+00,2.1851767e+00,4.0076837e+00,6.2233016e+00
9.9848932e-01,9.8226948e+00,2.9904379e+00,4.2906456e-01,2.7929385e+00,2.2869619e+00,4.0913365e+00,2.2799089e+00,4.0975875e+00,6.3272972e+00
1.0020667e+00,9.8226948e+00,2.9968979e+00,4.2947158e-01,2.7916132e+00,2.2863729e+00,4.0895954e+00,2.2819823e+00,4.0993239e+00,6.3295618e+00
1.0033206e+00,9.8226948e+00,2.9992311e+00,4.2961216e-01,2.7911461e+00,2.2861490e+00,4.0889997e+00,2.2827104e+00,4.0999312e+00,6.3303380e+00
1.0400930e+00,9.8226948e+00,3.0503064e+00,4.3365333e-01,2.7764540e+00,2.2819060e+00,4.0709890e+00,2.3040352e+00,4.1172900e+00,6.3534948e+00
1.0438195e+00,9.8226948e+00,3.0541353e+00,4.3404692e-01,2.7748714e+00,2.2816240e+00,4.0691624e+00,2.3062024e+00,4.1190149e+00,6.3558311e+00
1.0451256e+00,9.8226948e+00,3.0557600e+00,4.3418361e-01,2.7743226e+00,2.2814784e+00,4.0685459e+00,2.3069671e+00,4.1196246e+00,6.3566246e+00
1.1649042e+00,9.8226948e+00,3.0726604e+00,4.4523939e-01,2.7159268e+00,2.2821094e+00,4.0111481e+00,2.3780367e+00,4.1732519e+00,6.4303799e+00
1.1690778e+00,9.8226948e+00,3.0697537e+00,4.4562066e-01,2.7129562e+00,2.2821178e+00,4.0098541e+00,2.3801224e+00,4.1736783e+00,6.4312971e+00
1.1705407e+00,9.8226948e+00,3.0689355e+00,4.4573587e-01,2.7121653e+00,2.2822041e+00,4.0091800e+00,2.3810158e+00,4.1743255e+00,6.4321761e+00
1.2481116e+00,9.8226948e+00,2.9927699e+00,4.5117692e-01,2.6687125e+00,2.2901132e+00,3.9731328e+00,2.4297194e+00,4.2100260e+00,6.4808070e+00
1.2516323e+00,9.8226948e+00,2.9868313e+00,4.5143079e-01,2.6658549e+00,2.2903965e+00,3.9721810e+00,2.4315193e+00,4.2101966e+00,6.4813629e+00
1.2525834e+00,9.8226948e+00,2.9858117e+00,4.5148896e-01,2.6652950e+00,2.2904745e+00,3.9717797e+00,2.4321280e+00,4.2106230e+00,6.4819197e+00
1.2541507e+00,9.8226948e+00,2.9836267e+00,4.5158678e-01,2.6643577e+00,2.2906900e+00,3.9710704e+00,2.4331262e+00,4.2113212e+00,6.4828807e+00
1.3246585e+00,9.8226948e+00,2.8799099e+00,4.5545980e-01,2.6220683e+00,2.3006652e+00,3.9394605e+00,2.4795993e+00,4.2448897e+00,6.5275004e+00
1.3313191e+00,9.8226948e+00,2.8688586e+00,4.5578293e-01,2.6179036e+00,2.3017000e+00,3.9365711e+00,2.4840613e+00,4.2480053e+00,6.5316147e+00
1.3360889e+00,9.8226948e+00,2.8608478e+00,4.5600738e-01,2.6149111e+00,2.3024485e+00,3.9345107e+00,2.4872696e+00,4.2502463e+00,6.5345653e+00
1.4488452e+00,9.8226948e+00,2.6558138e+00,4.6022789e-01,2.5427809e+00,2.3220837e+00,3.8863193e+00,2.5665095e+00,4.3062033e+00,6.6063986e+00
1.4561303e+00,9.8226948e+00,2.6418569e+00,4.6042767e-01,2.5380693e+00,2.3234710e+00,3.8832184e+00,2.5718736e+00,4.3100616e+00,6.6112306e+00
1.4613473e+00,9.8226948e+00,2.6315942e+00,4.6056724e-01,2.5346854e+00,2.3245263e+00,3.8809689e+00,2.5757312e+00,4.3128430e+00,6.6147348e+00
1.4857023e+00,9.8226948e+00,2.5842596e+00,4.6116082e-01,2.5189257e+00,2.3293610e+00,3.8705349e+00,2.5939742e+00,4.3260842e+00,6.6311995e+00
1.4902408e+00,9.8226948e+00,2.5753412e+00,4.6126212e-01,2.5159902e+00,2.3302937e+00,3.8685759e+00,2.5974147e+00,4.3286001e+00,6.6343201e+00
1.4977340e+00,9.8226948e+00,2.5605957e+00,4.6141466e-01,2.5111443e+00,2.3318399e+00,3.8653479e+00,2.6031272e+00,4.3327953e+00,6.6394992e+00
1.5019588e+00,9.8226948e+00,2.5521318e+00,4.6150744e-01,2.5084112e+00,2.3327576e+00,3.8634927e+00,2.6063593e+00,4.3351708e+00,6.6424553e+00
1.5031000e+00,9.8226948e+00,2.5498692e+00,4.6153102e-01,2.5076739e+00,2.3330000e+00,3.8629972e+00,2.6072349e+00,4.3358152e+00,6.6432561e+00
1.6558231e+00,9.8226948e+00,2.2391354e+00,4.6281322e-01,2.4113507e+00,2.3712768e+00,3.7924766e+00,2.7330617e+00,4.4337783e+00,6.7620970e+00
1.6641489e+00,9.8226948e+00,2.2181006e+00,4.6273007e-01,2.4053447e+00,2.3742238e+00,3.7887100e+00,2.7402277e+00,4.4386989e+00,6.7682071e+00
1.6701111e+00,9.8226948e+00,2.2054774e+00,4.6270075e-01,2.4017603e+00,2.3761379e+00,3.7856242e+00,2.7455774e+00,4.4431803e+00,6.7736201e+00
1.7333194e+00,9.8226948e+00,2.0751635e+00,4.6210582e-01,2.3661706e+00,2.3980323e+00,3.7503492e+00,2.8046444e+00,4.4956865e+00,6.8367740e+00
1.7473563e+00,9.8226948e+00,2.0405920e+00,4.6179914e-01,2.3574121e+00,2.4044421e+00,3.7422155e+00,2.8181359e+00,4.5070256e+00,6.8508515e+00
1.7522852e+00,9.8226948e+00,2.0300852e+00,4.6170974e-01,2.3547436e+00,2.4064693e+00,3.7392081e+00,2.8229831e+00,4.5115063e+00,6.8562728e+00
1.8628010e+00,9.8226948e+00,1.7986796e+00,4.5890198e-01,2.3028596e+00,2.4616435e+00,3.6600672e+00,2.9390532e+00,4.6291537e+00,7.0007742e+00
1.8721675e+00,9.8226947e+00,1.7797327e+00,4.5859297e-01,2.2991824e+00,2.4671355e+00,3.6523126e+00,2.9495341e+00,4.6406549e+00,7.0150573e+00
1.8788750e+00,9.8226947e+00,1.7662232e+00,4.5837157e-01,2.2966338e+00,2.4711920e+00,3.6466091e+00,2.9570948e+00,4.6490595e+00,7.0255518e+00
1.9586073e+00,9.8226945e+00,1.6285307e+00,4.5587255e-01,2.2732538e+00,2.5179213e+00,3.5743928e+00,3.0495424e+00,4.7583083e+00,7.1611439e+00
1.9809365e+00,9.8226946e+00,1.6012698e+00,4.5536821e-01,2.2691387e+00,2.5282702e+00,3.5540827e+00,3.0756993e+00,4.7910025e+00,7.2007159e+00
1.9869877e+00,9.8226942e+00,1.5950737e+00,4.5525555e-01,2.2682060e+00,2.5306152e+00,3.5487572e+00,3.0827544e+00,4.7998993e+00,7.2113010e+00
1.9969786e+00,9.8226865e+00,1.5857390e+00,4.5509995e-01,2.2668144e+00,2.5341875e+00,3.5400362e+00,3.0943616e+00,4.8146202e+00,7.2287325e+00
2.0402159e+00,8.6892185e+00,1.5593924e+00,4.5568603e-01,2.2888493e+00,2.5381796e+00,3.4915187e+00,3.1521316e+00,4.8992476e+00,7.3232975e+00
2.0564441e+00,8.5839379e+00,1.5603920e+00,4.5594473e-01,2.2909653e+00,2.5358401e+00,3.4799342e+00,3.1707664e+00,4.9239801e+00,7.3490401e+00
2.0697789e+00,8.5936068e+00,1.5642304e+00,4.5613999e-01,2.2903856e+00,2.5329035e+00,3.4726761e+00,3.1850396e+00,4.9417751e+00,7.3667897e+00
2.0726563e+00,8.3886613e+00,1.5583543e+00,4.5619963e-01,2.2954011e+00,2.5344243e+00,3.4662085e+00,3.1904840e+00,4.9511980e+00,7.3781237e+00
2.0801861e+00,8.6462164e+00,1.5683322e+00,4.5628473e-01,2.2888114e+00,2.5303349e+00,3.4679599e+00,3.1956809e+00,4.9544737e+00,7.3791492e+00
2.0842832e+00,8.4678669e+00,1.5637166e+00,4.5636364e-01,2.2930737e+00,2.5312827e+00,3.4615056e+00,3.2021117e+00,4.9647578e+00,7.3910895e+00
2.2034332e+00,9.8226948e+00,1.6918383e+00,4.5933035e-01,2.2619954e+00,2.4679385e+00,3.4409334e+00,3.3113245e+00,5.0808633e+00,7.4816973e+00
2.2285535e+00,9.8226948e+00,1.7361926e+00,4.6057808e-01,2.2619316e+00,2.4469078e+00,3.4377288e+00,3.3349270e+00,5.1069531e+00,7.4988025e+00
2.2466010e+00,9.8226948e+00,1.7715356e+00,4.6153134e-01,2.2617368e+00,2.4309319e+00,3.4361341e+00,3.3516224e+00,5.1249693e+00,7.5097753e+00
2.2850418e+00,9.8226947e+00,1.8541652e+00,4.6370904e-01,2.2606757e+00,2.3960400e+00,3.4337486e+00,3.3865101e+00,5.1615385e+00,7.5306905e+00
