freqs [eV],Lambda [1/ps]
0.000000,0.055621
0.002500,0.056698
0.005000,0.059842
0.007500,0.064832
0.010000,0.071369
0.012500,0.079127
0.015000,0.087730
0.017500,0.096717
0.020000,0.105560
0.022500,0.113815
0.025000,0.121391
0.027500,0.128760
0.030000,0.136934
0.032500,0.147042
0.035000,0.159614
0.037500,0.173865
0.040000,0.187404
0.042500,0.196650
0.045000,0.197921
0.047500,0.188838
0.050000,0.169460
0.052500,0.142662
0.055000,0.113575
0.057500,0.088240
0.060000,0.071953
0.062500,0.067810
0.065000,0.075845
0.067500,0.092972
0.070000,0.113666
0.072500,0.131212
0.075000,0.139176
0.077500,0.132774
0.080000,0.109832
0.082500,0.071127
0.085000,0.020129
0.087500,-0.037761
0.090000,-0.096233
0.092500,-0.149143
0.095000,-0.191451
0.097500,-0.219911
0.100000,-0.233434
0.102500,-0.233065
0.105000,-0.221586
0.107500,-0.202792
0.110000,-0.180597
0.112500,-0.158146
0.115000,-0.137158
0.117500,-0.117655
0.120000,-0.098121
0.122500,-0.076058
0.125000,-0.048802
0.127500,-0.014450
0.130000,0.027257
0.132500,0.074301
0.135000,0.122212
0.137500,0.164576
0.140000,0.194273
0.142500,0.205273
0.145000,0.194495
0.147500,0.163092
0.150000,0.116613
0.152500,0.063859
0.155000,0.014738
0.157500,-0.022202
0.160000,-0.041726
0.162500,-0.042771
0.165000,-0.028065
0.167500,-0.002814
0.170000,0.026919
0.172500,0.055578
0.175000,0.078886
0.177500,0.094008
0.180000,0.099352
0.182500,0.094268
0.185000,0.078881
0.187500,0.054096
0.190000,0.021750
0.192500,-0.015280
0.195000,-0.053152
0.197500,-0.087493
0.200000,-0.114194
0.202500,-0.130463
0.205000,-0.135784
0.207500,-0.132387
0.210000,-0.124887
0.212500,-0.119055
0.215000,-0.120025
0.217500,-0.130577
0.220000,-0.150131
0.222500,-0.174844
0.225000,-0.198793
0.227500,-0.215794
0.230000,-0.221234
0.232500,-0.213344
0.235000,-0.193557
0.237500,-0.165936
0.240000,-0.135903
0.242500,-0.108676
0.245000,-0.087899
0.247500,-0.074845
0.250000,-0.068421
0.252500,-0.065947
0.255000,-0.064408
0.257500,-0.061700
0.260000,-0.057369
0.262500,-0.052546
0.265000,-0.049114
0.267500,-0.048505
0.270000,-0.050708
0.272500,-0.053990
0.275000,-0.055491
0.277500,-0.052451
0.280000,-0.043517
0.282500,-0.029558
0.285000,-0.013670
0.287500,-0.000386
0.290000,0.005571
0.292500,0.000601
0.295000,-0.016749
0.297500,-0.045226
0.300000,-0.080914
0.302500,-0.117908
0.305000,-0.149587
0.307500,-0.170234
0.310000,-0.176544
0.312500,-0.168465
0.315000,-0.148989
0.317500,-0.122954
0.320000,-0.095340
0.322500,-0.069757
0.325000,-0.047655
0.327500,-0.028421
0.330000,-0.010082
0.332500,0.009779
0.335000,0.033226
0.337500,0.061387
0.340000,0.094000
0.342500,0.129036
0.345000,0.162501
0.347500,0.188672
0.350000,0.200989
0.352500,0.193602
0.355000,0.163204
0.357500,0.110477
0.360000,0.040523
0.362500,-0.038087
0.365000,-0.115403
0.367500,-0.182632
0.370000,-0.234163
0.372500,-0.268365
0.375000,-0.286933
0.377500,-0.293228
0.380000,-0.290408
0.382500,-0.280186
0.385000,-0.262625
0.387500,-0.236839
0.390000,-0.202048
0.392500,-0.158375
0.395000,-0.107103
0.397500,-0.050498
0.400000,0.008441
0.402500,0.066029
0.405000,0.117786
0.407500,0.158461
0.410000,0.182502
0.412500,0.185035
0.415000,0.163060
0.417500,0.116445
0.420000,0.048314
0.422500,-0.035284
0.425000,-0.126292
0.427500,-0.215898
