freqs [eV],Lambda [1/ps]
0.000000,0.097907
0.002500,0.099323
0.005000,0.103906
0.007500,0.112612
0.010000,0.126857
0.012500,0.148226
0.015000,0.178051
0.017500,0.216913
0.020000,0.264182
0.022500,0.317790
0.025000,0.374366
0.027500,0.429821
0.030000,0.480232
0.032500,0.522767
0.035000,0.556291
0.037500,0.581453
0.040000,0.600234
0.042500,0.615185
0.045000,0.628704
0.047500,0.642612
0.050000,0.658145
0.052500,0.676263
0.055000,0.698073
0.057500,0.725162
0.060000,0.759640
0.062500,0.803823
0.065000,0.859514
0.067500,0.927082
0.070000,1.004643
0.072500,1.087826
0.075000,1.170441
0.077500,1.246078
0.080000,1.310150
0.082500,1.361580
0.085000,1.403349
0.087500,1.441566
0.090000,1.483311
0.092500,1.534048
0.095000,1.595511
0.097500,1.664768
0.100000,1.734673
0.102500,1.795532
0.105000,1.837454
0.107500,1.852784
0.110000,1.838006
0.112500,1.794650
0.115000,1.729018
0.117500,1.650858
0.120000,1.571400
0.122500,1.501297
0.125000,1.448941
0.127500,1.419418
0.130000,1.414186
0.132500,1.431378
0.135000,1.466541
0.137500,1.513572
0.140000,1.565583
0.142500,1.615534
0.145000,1.656630
0.147500,1.682679
0.150000,1.688598
0.152500,1.671136
0.155000,1.629596
0.157500,1.566237
0.160000,1.486098
0.162500,1.396240
0.165000,1.304655
0.167500,1.219152
0.170000,1.146465
0.172500,1.091657
0.175000,1.057806
0.177500,1.045992
0.180000,1.055605
0.182500,1.084973
0.185000,1.132174
0.187500,1.195758
0.190000,1.275018
0.192500,1.369576
0.195000,1.478289
0.197500,1.597815
0.200000,1.721468
0.202500,1.839041
0.205000,1.938092
0.207500,2.006659
0.210000,2.036731
0.212500,2.027364
0.215000,1.986194
0.217500,1.928613
0.220000,1.874659
0.222500,1.844549
0.225000,1.854227
0.227500,1.912203
0.230000,2.018380
0.232500,2.164819
0.235000,2.337828
0.237500,2.520621
0.240000,2.695903
0.242500,2.848074
0.245000,2.964890
0.247500,3.038558
0.250000,3.066157
0.252500,3.049383
0.255000,2.993710
0.257500,2.907236
0.260000,2.799482
0.262500,2.680338
0.265000,2.559122
0.267500,2.443628
0.270000,2.339144
0.272500,2.247661
0.275000,2.167676
0.277500,2.094992
0.280000,2.024532
0.282500,1.952745
0.285000,1.879761
0.287500,1.810399
0.290000,1.753497
0.292500,1.719555
0.295000,1.717347
0.297500,1.750499
0.300000,1.815169
0.302500,1.899712
0.305000,1.986672
0.307500,2.056702
0.310000,2.093315
0.312500,2.086977
0.315000,2.037207
0.317500,1.952080
0.320000,1.845461
0.322500,1.733047
0.325000,1.628524
0.327500,1.540873
0.330000,1.473285
0.332500,1.423649
0.335000,1.386282
0.337500,1.354429
0.340000,1.323005
0.342500,1.290980
0.345000,1.262772
0.347500,1.248205
0.350000,1.260859
0.352500,1.315093
0.355000,1.422373
0.357500,1.587724
0.360000,1.807199
0.362500,2.067084
0.365000,2.345243
0.367500,2.614557
0.370000,2.847784
0.372500,3.022741
0.375000,3.126452
0.377500,3.157251
0.380000,3.124383
0.382500,3.045417
0.385000,2.942243
0.387500,2.836590
0.390000,2.745840
0.392500,2.679809
0.395000,2.639019
0.397500,2.614991
0.400000,2.592726
0.402500,2.555001
0.405000,2.487367
0.407500,2.382318
0.410000,2.241305
0.412500,2.074083
0.415000,1.895904
0.417500,1.723831
0.420000,1.573529
0.422500,1.457336
0.425000,1.383666
0.427500,1.357161
0.430000,1.378880
0.432500,1.446113
0.435000,1.551894
0.437500,1.684734
0.440000,1.829237
0.442500,1.967998
0.445000,2.084671
0.447500,2.167528
0.450000,2.212409
0.452500,2.224023
0.455000,2.214997
0.457500,2.202804
0.460000,2.205381
0.462500,2.236626
0.465000,2.302966
0.467500,2.401817
0.470000,2.522278
0.472500,2.647880
0.475000,2.760752
0.477500,2.846184
0.480000,2.896349
0.482500,2.912020
0.485000,2.901638
0.487500,2.877912
0.490000,2.853119
0.492500,2.834810
0.495000,2.823550
0.497500,2.813476
0.500000,2.795345
0.502500,2.760728
0.505000,2.705722
0.507500,2.632880
0.510000,2.550862
0.512500,2.472110
0.515000,2.409420
0.517500,2.372421
0.520000,2.364898
0.522500,2.383657
0.525000,2.419245
0.527500,2.458359
0.530000,2.487288
0.532500,2.495383
0.535000,2.477553
0.537500,2.435170
0.540000,2.375361
0.542500,2.309172
0.545000,2.249240
0.547500,2.207558
0.550000,2.193602
0.552500,2.212902
0.555000,2.266051
0.557500,2.348234
0.560000,2.449378
0.562500,2.555097
0.565000,2.648508
0.567500,2.712837
0.570000,2.734470
0.572500,2.705833
0.575000,2.627317
0.577500,2.507569
0.580000,2.361872
0.582500,2.208931
0.585000,2.066932
0.587500,1.949944
0.590000,1.865603
0.592500,1.814507
0.595000,1.791257
0.597500,1.786649
0.600000,1.790346
0.602500,1.793395
0.605000,1.790119
0.607500,1.779092
0.610000,1.763145
0.612500,1.748509
0.615000,1.743336
0.617500,1.755911
0.620000,1.792861
0.622500,1.857618
0.625000,1.949341
0.627500,2.062473
0.630000,2.187075
0.632500,2.310014
0.635000,2.416949
0.637500,2.494805
0.640000,2.534295
0.642500,2.531924
0.645000,2.491021
0.647500,2.421490
0.650000,2.338261
0.652500,2.258585
0.655000,2.198580
0.657500,2.169662
0.660000,2.175709
0.662500,2.211833
0.665000,2.265362
0.667500,2.319018
0.670000,2.355486
0.672500,2.362024
0.675000,2.333638
0.677500,2.273865
0.680000,2.193047
0.682500,2.104881
0.685000,2.022558
0.687500,1.955767
0.690000,1.909326
0.692500,1.883464
0.695000,1.875175
0.697500,1.879812
0.700000,1.892299
0.702500,1.907763
0.705000,1.921776
0.707500,1.930589
0.710000,1.931580
0.712500,1.923880
0.715000,1.908845
0.717500,1.890035
0.720000,1.872463
0.722500,1.861214
0.725000,1.859795
0.727500,1.868766
0.730000,1.885193
0.732500,1.903212
0.735000,1.915619
0.737500,1.916017
0.740000,1.900795
0.742500,1.870264
