coordinate [angstrom],total [eV],zerotemp [eV],free [eV]
0.0,0.0,0.0,0.0
0.14909614223586778,0.02069247979670763,0.020726069808006287,0.020759659819304943
0.3024289479840761,0.05836180970072746,0.05843659956008196,0.05851139035075903
0.45503005262496116,0.09226064011454582,0.09236689005047083,0.09247315023094416
0.6043380369848698,0.11404360923916101,0.11416972987353802,0.1142958402633667
0.7516527408833321,0.12148723937571049,0.1216254997998476,0.12176377046853304
0.8988828311998784,0.11439843010157347,0.11454193014651537,0.11468541994690895
1.0479043001015707,0.09328373987227678,0.09342226013541222,0.09356078039854765
1.1999828400689758,0.06033710949122906,0.060454689897596836,0.060572280548512936
1.3525978769743157,0.02378224954009056,0.023864399641752243,0.02394654043018818
1.5012901459549792,0.0034817196428775787,0.003531799651682377,0.003581870347261429
