coordinate [angstrom],total [eV],zerotemp [eV],free [eV]
0.0,0.0,0.0,0.0
0.14909614223586778,0.018966069445014,0.01939720008522272,0.01982832048088312
0.3024289479840761,0.055267649702727795,0.05603047925978899,0.05679329019039869
0.45503005262496116,0.0882372297346592,0.08921690005809069,0.09019656013697386
0.6043380369848698,0.10949801933020353,0.11059650965034962,0.11169498041272163
0.7516527408833321,0.11680946964770555,0.11793770920485258,0.11906594038009644
0.8988828311998784,0.10996823944151402,0.11104027926921844,0.1121123107150197
1.0479043001015707,0.08946928009390831,0.09039944969117641,0.09132960997521877
1.1999828400689758,0.05749973934143782,0.058198449201881886,0.05889715068042278
1.3525978769743157,0.022283069789409637,0.022652399726212025,0.023021710105240345
1.5012901459549792,0.0035814400762319565,0.0035475799813866615,0.0035137105733156204
