coordinate [angstrom],total [eV],zerotemp [eV],free [eV]
0.0,0.0,0.0,0.0
0.14909614223586778,0.02126389928162098,0.02109775971621275,0.020931619219481945
0.3024289479840761,0.059487899765372276,0.05916805937886238,0.05884820967912674
0.45503005262496116,0.0938069699332118,0.09337134938687086,0.09293571952730417
0.6043380369848698,0.11583459936082363,0.11533292941749096,0.11483124922960997
0.7516527408833321,0.12335012014955282,0.12283483985811472,0.12231955956667662
0.8988828311998784,0.11616771947592497,0.11568957008421421,0.11521141976118088
1.0479043001015707,0.09480135980993509,0.09440591931343079,0.09401046950370073
1.1999828400689758,0.06145599950104952,0.06117982976138592,0.060903639532625675
1.3525978769743157,0.024407539516687393,0.024269210174679756,0.024130879901349545
1.5012901459549792,0.0036484496667981148,0.0036399997770786285,0.0036315293982625008
