1000/T [1/K], rate [1/ps]
4.00e+0, 4.63e-2
4.16e+0, 3.96e-2
4.35e+0, 3.26e-2
4.55e+0, 2.76e-2
4.76e+0, 2.26e-2
5.00e+0, 1.66e-2
5.00e+0, 1.86e-2
5.26e+0, 1.46e-2
5.55e+0, 1.13e-2
5.88e+0, 9.32e-3
6.25e+0, 5.82e-3
