freqs [eV],Lambda [1/ps]
0.000000,0.001034
0.002500,0.001005
0.005000,0.000904
0.007500,0.000692
0.010000,0.000319
0.012500,-0.000248
0.015000,-0.000975
0.017500,-0.001720
0.020000,-0.002191
0.022500,-0.001975
0.025000,-0.000638
0.027500,0.002088
0.030000,0.006081
0.032500,0.010641
0.035000,0.014455
0.037500,0.015766
0.040000,0.012781
0.042500,0.004202
0.045000,-0.010262
0.047500,-0.029600
0.050000,-0.051548
0.052500,-0.073008
0.055000,-0.090750
0.057500,-0.102156
0.060000,-0.105815
0.062500,-0.101763
0.065000,-0.091344
0.067500,-0.076762
0.070000,-0.060507
0.072500,-0.044823
0.075000,-0.031340
0.077500,-0.020927
0.080000,-0.013728
0.082500,-0.009340
0.085000,-0.007044
0.087500,-0.006051
0.090000,-0.005678
0.092500,-0.005450
0.095000,-0.005102
0.097500,-0.004522
0.100000,-0.003666
0.102500,-0.002503
0.105000,-0.001007
0.107500,0.000816
0.110000,0.002888
0.112500,0.005046
0.115000,0.007067
0.117500,0.008724
0.120000,0.009847
0.122500,0.010361
0.125000,0.010298
0.127500,0.009779
0.130000,0.008986
0.132500,0.008135
0.135000,0.007444
0.137500,0.007085
0.140000,0.007121
0.142500,0.007446
0.145000,0.007740
0.147500,0.007504
0.150000,0.006156
0.152500,0.003189
0.155000,-0.001681
0.157500,-0.008416
0.160000,-0.016667
0.162500,-0.025850
0.165000,-0.035281
0.167500,-0.044282
0.170000,-0.052253
0.172500,-0.058692
0.175000,-0.063216
0.177500,-0.065587
0.180000,-0.065764
0.182500,-0.063938
0.185000,-0.060526
0.187500,-0.056071
0.190000,-0.051089
0.192500,-0.045911
0.195000,-0.040597
0.197500,-0.034981
0.200000,-0.028824
0.202500,-0.022027
0.205000,-0.014778
0.207500,-0.007575
0.210000,-0.001089
0.212500,0.004063
0.215000,0.007540
0.217500,0.009409
0.220000,0.010135
0.222500,0.010444
0.225000,0.011122
0.227500,0.012815
0.230000,0.015878
0.232500,0.020316
0.235000,0.025804
0.237500,0.031785
0.240000,0.037606
0.242500,0.042659
0.245000,0.046477
0.247500,0.048788
0.250000,0.049498
0.252500,0.048638
0.255000,0.046314
0.257500,0.042686
0.260000,0.037975
0.262500,0.032510
0.265000,0.026747
0.267500,0.021246
0.270000,0.016589
0.272500,0.013249
0.275000,0.011476
0.277500,0.011225
0.280000,0.012180
0.282500,0.013861
0.285000,0.015770
0.287500,0.017542
0.290000,0.019011
0.292500,0.020185
0.295000,0.021139
0.297500,0.021874
0.300000,0.022226
0.302500,0.021875
0.305000,0.020457
0.307500,0.017741
0.310000,0.013775
0.312500,0.008943
0.315000,0.003899
0.317500,-0.000598
0.320000,-0.003870
0.322500,-0.005480
0.325000,-0.005303
0.327500,-0.003530
0.330000,-0.000598
0.332500,0.002897
0.335000,0.006313
0.337500,0.009062
0.340000,0.010696
0.342500,0.010967
0.345000,0.009836
0.347500,0.007448
0.350000,0.004068
0.352500,0.000031
0.355000,-0.004293
0.357500,-0.008502
0.360000,-0.012144
0.362500,-0.014713
0.365000,-0.015685
0.367500,-0.014613
0.370000,-0.011261
0.372500,-0.005748
0.375000,0.001359
0.377500,0.009063
0.380000,0.016075
0.382500,0.021087
0.385000,0.023087
0.387500,0.021618
0.390000,0.016895
0.392500,0.009723
0.395000,0.001252
0.397500,-0.007333
0.400000,-0.015074
0.402500,-0.021390
0.405000,-0.026081
0.407500,-0.029250
0.410000,-0.031168
0.412500,-0.032140
0.415000,-0.032401
0.417500,-0.032046
0.420000,-0.031019
0.422500,-0.029150
0.425000,-0.026243
0.427500,-0.022158
0.430000,-0.016893
0.432500,-0.010608
0.435000,-0.003616
0.437500,0.003646
0.440000,0.010670
0.442500,0.016925
0.445000,0.021902
0.447500,0.025182
0.450000,0.026486
0.452500,0.025730
0.455000,0.023064
0.457500,0.018882
0.460000,0.013796
0.462500,0.008589
0.465000,0.004110
0.467500,0.001165
0.470000,0.000380
0.472500,0.002095
0.475000,0.006297
0.477500,0.012627
0.480000,0.020465
0.482500,0.029075
0.485000,0.037762
0.487500,0.045987
0.490000,0.053390
0.492500,0.059734
0.495000,0.064816
0.497500,0.068381
0.500000,0.070105
0.502500,0.069622
0.505000,0.066601
0.507500,0.060826
0.510000,0.052281
0.512500,0.041211
0.515000,0.028150
0.517500,0.013902
0.520000,-0.000571
0.522500,-0.014307
0.525000,-0.026534
0.527500,-0.036811
0.530000,-0.045071
0.532500,-0.051555
0.535000,-0.056659
0.537500,-0.060746
0.540000,-0.063990
0.542500,-0.066290
0.545000,-0.067267
0.547500,-0.066358
0.550000,-0.062967
0.552500,-0.056660
0.555000,-0.047337
0.557500,-0.035338
0.560000,-0.021447
0.562500,-0.006772
0.565000,0.007450
0.567500,0.020079
0.570000,0.030259
0.572500,0.037530
0.575000,0.041845
0.577500,0.043508
0.580000,0.043073
0.582500,0.041219
0.585000,0.038631
0.587500,0.035902
0.590000,0.033454
0.592500,0.031485
0.595000,0.029959
0.597500,0.028623
0.600000,0.027073
0.602500,0.024859
0.605000,0.021598
0.607500,0.017095
0.610000,0.011403
0.612500,0.004828
0.615000,-0.002161
0.617500,-0.009060
0.620000,-0.015477
0.622500,-0.021224
0.625000,-0.026323
0.627500,-0.030928
0.630000,-0.035185
0.632500,-0.039085
0.635000,-0.042354
0.637500,-0.044439
0.640000,-0.044597
0.642500,-0.042098
0.645000,-0.036465
0.647500,-0.027701
0.650000,-0.016376
0.652500,-0.003554
0.655000,0.009440
0.657500,0.021337
0.660000,0.031190
0.662500,0.038524
0.665000,0.043317
0.667500,0.045845
0.670000,0.046489
0.672500,0.045573
0.675000,0.043300
0.677500,0.039779
0.680000,0.035116
0.682500,0.029499
0.685000,0.023241
0.687500,0.016748
0.690000,0.010447
0.692500,0.004699
0.695000,-0.000257
0.697500,-0.004300
0.700000,-0.007385
0.702500,-0.009487
0.705000,-0.010569
0.707500,-0.010598
0.710000,-0.009595
0.712500,-0.007685
0.715000,-0.005113
0.717500,-0.002193
0.720000,0.000774
0.722500,0.003588
0.725000,0.006178
0.727500,0.008560
0.730000,0.010749
0.732500,0.012661
0.735000,0.014078
0.737500,0.014693
0.740000,0.014225
0.742500,0.012553
0.745000,0.009816
0.747500,0.006422
0.750000,0.002963
0.752500,0.000058
0.755000,-0.001808
0.757500,-0.002418
0.760000,-0.001869
0.762500,-0.000536
0.765000,0.001028
0.767500,0.002227
0.770000,0.002546
0.772500,0.001641
0.775000,-0.000605
0.777500,-0.004078
0.780000,-0.008450
0.782500,-0.013233
0.785000,-0.017851
0.787500,-0.021745
0.790000,-0.024487
0.792500,-0.025900
0.795000,-0.026126
0.797500,-0.025633
0.800000,-0.025116
0.802500,-0.025322
0.805000,-0.026821
0.807500,-0.029804
0.810000,-0.033966
0.812500,-0.038526
0.815000,-0.042384
0.817500,-0.044368
0.820000,-0.043522
0.822500,-0.039347
0.825000,-0.031937
0.827500,-0.021990
0.830000,-0.010695
0.832500,0.000485
0.835000,0.010067
0.837500,0.016818
0.840000,0.019982
0.842500,0.019434
0.845000,0.015712
0.847500,0.009920
0.850000,0.003488
0.852500,-0.002140
0.855000,-0.005831
0.857500,-0.006996
0.860000,-0.005661
0.862500,-0.002369
0.865000,0.002050
0.867500,0.006745
0.870000,0.011074
0.872500,0.014712
0.875000,0.017652
0.877500,0.020105
0.880000,0.022357
0.882500,0.024635
0.885000,0.027011
0.887500,0.029376
0.890000,0.031481
0.892500,0.033018
0.895000,0.033728
0.897500,0.033481
0.900000,0.032316
0.902500,0.030435
0.905000,0.028147
0.907500,0.025794
0.910000,0.023679
0.912500,0.021986
0.915000,0.020740
0.917500,0.019791
0.920000,0.018856
0.922500,0.017588
0.925000,0.015684
0.927500,0.012969
0.930000,0.009448
0.932500,0.005301
0.935000,0.000834
0.937500,-0.003594
0.940000,-0.007639
0.942500,-0.011021
0.945000,-0.013543
0.947500,-0.015093
