# {'v': 0.055445561531346554, 'err': 9.631053192592601e-05}
 1.0000000000000000e-03  5.5442171140267227e-02  9.6331298495229005e-05  9.9993885189389942e-01  2.1862752378356708e-06
 2.0000000000000000e-03  5.5433256138978051e-02  9.6365434534530553e-05  9.9977806352702292e-01  5.9981330220356948e-06
 3.0000000000000001e-03  5.5420201997588764e-02  9.6361847525588726e-05  9.9954262283477002e-01  8.5990174377782858e-06
 4.0000000000000001e-03  5.5403351482977578e-02  9.6350032423476946e-05  9.9923871186073010e-01  1.3174835795718328e-05
 5.0000000000000001e-03  5.5386840233072290e-02  9.6528746093747203e-05  9.9894091976611932e-01  1.6940673605111879e-05
 6.0000000000000001e-03  5.5369632729601388e-02  9.6538800521908368e-05  9.9863057024497370e-01  2.2050781612475552e-05
 7.0000000000000001e-03  5.5351159790488394e-02  9.6608898382916244e-05  9.9829739769512860e-01  2.8964692407445195e-05
 8.0000000000000002e-03  5.5333373371418304e-02  9.6718154126635016e-05  9.9797660702083746e-01  3.2598874659263686e-05
 9.0000000000000011e-03  5.5317831066193202e-02  9.6711456077818201e-05  9.9769629053028641e-01  3.4513292821408573e-05
 1.0000000000000000e-02  5.5303831966068057e-02  9.6584277496779199e-05  9.9744380683748024e-01  3.7107425280407355e-05
 1.0999999999999999e-02  5.5290288887347876e-02  9.6592149997929157e-05  9.9719954781392384e-01  3.9702106696936158e-05
 1.2000000000000000e-02  5.5279106168230056e-02  9.6597759675471872e-05  9.9699785954873243e-01  4.0952118523960893e-05
 1.3000000000000001e-02  5.5267464965491640e-02  9.6676912166609750e-05  9.9678790220648728e-01  4.4892652790074298e-05
 1.4000000000000000e-02  5.5258637965663410e-02  9.6742898343827227e-05  9.9662870100833112e-01  4.8744637770922377e-05
 1.4999999999999999e-02  5.5249112206089593e-02  9.6761003805235956e-05  9.9645689718290797e-01  4.7610148743614132e-05
 1.6000000000000000e-02  5.5241937299308902e-02  9.6799161278535238e-05  9.9632749265380727e-01  4.7587856146797903e-05
 1.7000000000000001e-02  5.5234973261192762e-02  9.6781941278224629e-05  9.9620189129052761e-01  5.0061133458018183e-05
