No of components        3
Discretization length in eV   0.0100
Number of Bins      201
Excitation energy in eV   Re(Coupling element)   Im(Coupling element) in 1/ps
============================================================================
Friction component for    1   1
   0.124000E+001        0.202275E+001   0.000000E+000
   0.125000E+001        0.196930E+001   0.000000E+000
   0.126000E+001        0.207360E+001   0.000000E+000
   0.127000E+001        0.235685E+001   0.000000E+000
   0.128000E+001        0.252285E+001   0.000000E+000
   0.129000E+001        0.254428E+001   0.000000E+000
   0.130000E+001        0.244016E+001   0.000000E+000
   0.131000E+001        0.219596E+001   0.000000E+000
   0.132000E+001        0.195517E+001   0.000000E+000
   0.133000E+001        0.189470E+001   0.000000E+000
   0.134000E+001        0.198853E+001   0.000000E+000
   0.135000E+001        0.199440E+001   0.000000E+000
   0.136000E+001        0.197084E+001   0.000000E+000
   0.137000E+001        0.204392E+001   0.000000E+000
   0.138000E+001        0.209611E+001   0.000000E+000
   0.139000E+001        0.204584E+001   0.000000E+000
   0.140000E+001        0.193638E+001   0.000000E+000
   0.141000E+001        0.191560E+001   0.000000E+000
   0.142000E+001        0.199526E+001   0.000000E+000
   0.143000E+001        0.201263E+001   0.000000E+000
   0.144000E+001        0.186886E+001   0.000000E+000
   0.145000E+001        0.180428E+001   0.000000E+000
   0.146000E+001        0.190809E+001   0.000000E+000
   0.147000E+001        0.200911E+001   0.000000E+000
   0.148000E+001        0.205348E+001   0.000000E+000
   0.149000E+001        0.210033E+001   0.000000E+000
   0.150000E+001        0.218692E+001   0.000000E+000
   0.151000E+001        0.233951E+001   0.000000E+000
   0.152000E+001        0.237142E+001   0.000000E+000
   0.153000E+001        0.218217E+001   0.000000E+000
   0.154000E+001        0.212399E+001   0.000000E+000
   0.155000E+001        0.220421E+001   0.000000E+000
   0.156000E+001        0.210717E+001   0.000000E+000
   0.157000E+001        0.201697E+001   0.000000E+000
   0.158000E+001        0.214065E+001   0.000000E+000
   0.159000E+001        0.231332E+001   0.000000E+000
   0.160000E+001        0.231786E+001   0.000000E+000
   0.161000E+001        0.220945E+001   0.000000E+000
   0.162000E+001        0.220714E+001   0.000000E+000
   0.163000E+001        0.224511E+001   0.000000E+000
   0.164000E+001        0.225411E+001   0.000000E+000
   0.165000E+001        0.233725E+001   0.000000E+000
   0.166000E+001        0.239063E+001   0.000000E+000
   0.167000E+001        0.238267E+001   0.000000E+000
   0.168000E+001        0.231868E+001   0.000000E+000
   0.169000E+001        0.218785E+001   0.000000E+000
   0.170000E+001        0.206908E+001   0.000000E+000
   0.171000E+001        0.207760E+001   0.000000E+000
   0.172000E+001        0.218632E+001   0.000000E+000
   0.173000E+001        0.226030E+001   0.000000E+000
   0.174000E+001        0.227051E+001   0.000000E+000
   0.175000E+001        0.233184E+001   0.000000E+000
   0.176000E+001        0.254974E+001   0.000000E+000
   0.177000E+001        0.266468E+001   0.000000E+000
   0.178000E+001        0.255575E+001   0.000000E+000
   0.179000E+001        0.247656E+001   0.000000E+000
   0.180000E+001        0.245382E+001   0.000000E+000
   0.181000E+001        0.247319E+001   0.000000E+000
   0.182000E+001        0.244165E+001   0.000000E+000
   0.183000E+001        0.239670E+001   0.000000E+000
   0.184000E+001        0.240624E+001   0.000000E+000
   0.185000E+001        0.238903E+001   0.000000E+000
   0.186000E+001        0.239541E+001   0.000000E+000
   0.187000E+001        0.246800E+001   0.000000E+000
   0.188000E+001        0.255216E+001   0.000000E+000
   0.189000E+001        0.253823E+001   0.000000E+000
   0.190000E+001        0.246234E+001   0.000000E+000
   0.191000E+001        0.245464E+001   0.000000E+000
   0.192000E+001        0.251153E+001   0.000000E+000
   0.193000E+001        0.246039E+001   0.000000E+000
   0.194000E+001        0.234592E+001   0.000000E+000
   0.195000E+001        0.237239E+001   0.000000E+000
   0.196000E+001        0.253909E+001   0.000000E+000
   0.197000E+001        0.268834E+001   0.000000E+000
   0.198000E+001        0.270522E+001   0.000000E+000
   0.199000E+001        0.266342E+001   0.000000E+000
   0.200000E+001        0.259641E+001   0.000000E+000
Friction component for    1   2
   0.000000E+000       -0.417265E-001   0.000000E+000
   0.100000E-001       -0.491191E-001   0.763536E-002
   0.200000E-001       -0.856466E-001   0.284983E-001
   0.300000E-001       -0.132965E+000   0.608700E-001
   0.400000E-001       -0.111211E+000   0.590651E-001
   0.500000E-001       -0.857309E-001   0.494604E-001
   0.600000E-001       -0.113759E+000   0.552864E-001
   0.700000E-001       -0.142437E+000   0.410656E-001
   0.800000E-001       -0.124680E+000   0.629899E-001
   0.900000E-001       -0.840809E-001   0.103790E+000
