freqs [eV],Lambda [1/ps]
0.000000,0.113250
0.002500,0.116279
0.005000,0.125462
0.007500,0.141086
0.010000,0.163619
0.012500,0.193637
0.015000,0.231638
0.017500,0.277724
0.020000,0.331186
0.022500,0.390147
0.025000,0.451481
0.027500,0.511178
0.030000,0.565217
0.032500,0.610721
0.035000,0.647013
0.037500,0.676128
0.040000,0.702488
0.042500,0.731784
0.045000,0.769390
0.047500,0.818829
0.050000,0.880799
0.052500,0.953078
0.055000,1.031302
0.057500,1.110349
0.060000,1.185837
0.062500,1.255206
0.065000,1.318080
0.067500,1.375912
0.070000,1.431287
0.072500,1.487383
0.075000,1.547910
0.077500,1.617412
0.080000,1.701387
0.082500,1.805608
0.085000,1.934372
0.087500,2.088124
0.090000,2.261430
0.092500,2.442440
0.095000,2.614402
0.097500,2.759003
0.100000,2.860453
0.102500,2.908993
0.105000,2.902727
0.107500,2.847386
0.110000,2.754352
0.112500,2.637759
0.115000,2.511632
0.117500,2.387811
0.120000,2.274941
0.122500,2.178424
0.125000,2.100901
0.127500,2.042878
0.130000,2.003299
0.132500,1.980111
0.135000,1.970960
0.137500,1.973985
0.140000,1.988435
0.142500,2.014724
0.145000,2.053683
0.147500,2.105184
0.150000,2.166697
0.152500,2.232536
0.155000,2.294318
0.157500,2.342693
0.160000,2.369779
0.162500,2.371447
0.165000,2.348569
0.167500,2.306787
0.170000,2.254924
0.172500,2.202666
0.175000,2.158363
0.177500,2.127606
0.180000,2.112856
0.182500,2.113879
0.185000,2.128541
0.187500,2.153466
0.190000,2.184403
0.192500,2.216413
0.195000,2.244208
0.197500,2.262829
0.200000,2.268598
0.202500,2.260014
0.205000,2.238172
0.207500,2.206463
0.210000,2.169582
0.212500,2.132208
0.215000,2.097769
0.217500,2.067733
0.220000,2.041604
0.222500,2.017579
0.225000,1.993596
0.227500,1.968387
0.230000,1.942193
0.232500,1.916937
0.235000,1.895852
0.237500,1.882713
0.240000,1.880931
0.242500,1.892767
0.245000,1.918902
0.247500,1.958440
0.250000,2.009299
0.252500,2.068769
0.255000,2.133980
0.257500,2.202104
0.260000,2.270352
0.262500,2.336012
0.265000,2.396771
0.267500,2.451366
0.270000,2.500239
0.272500,2.545646
0.275000,2.590837
0.277500,2.638392
0.280000,2.688333
0.282500,2.736950
0.285000,2.777006
0.287500,2.799378
0.290000,2.795515
0.292500,2.759784
0.295000,2.690933
0.297500,2.592423
0.300000,2.471782
0.302500,2.339353
0.305000,2.206719
0.307500,2.084988
0.310000,1.983111
0.312500,1.906548
0.315000,1.856668
0.317500,1.831123
0.320000,1.825112
0.322500,1.833065
0.325000,1.850092
0.327500,1.872713
0.330000,1.898750
0.332500,1.926697
0.335000,1.955111
0.337500,1.982475
0.340000,2.007654
0.342500,2.030745
0.345000,2.053882
0.347500,2.081570
0.350000,2.120318
0.352500,2.177500
0.355000,2.259638
0.357500,2.370440
0.360000,2.509124
0.362500,2.669588
0.365000,2.840828
0.367500,3.008634
0.370000,3.158134
0.372500,3.276443
0.375000,3.354646
0.377500,3.388683
0.380000,3.379132
0.382500,3.330218
0.385000,3.248511
0.387500,3.141673
0.390000,3.017456
0.392500,2.883100
0.395000,2.745159
0.397500,2.609770
0.400000,2.483153
0.402500,2.371984
0.405000,2.283230
0.407500,2.223320
0.410000,2.196910
0.412500,2.205867
0.415000,2.249053
0.417500,2.323017
0.420000,2.423127
0.422500,2.544299
0.425000,2.680744
0.427500,2.824873
0.430000,2.966218
0.432500,3.091551
0.435000,3.186864
0.437500,3.240880
0.440000,3.248771
0.442500,3.214396
0.445000,3.149854
0.447500,3.072276
0.450000,2.998978
0.452500,2.942752
0.455000,2.908948
0.457500,2.895203
0.460000,2.893601
0.462500,2.894226
0.465000,2.888761
0.467500,2.872985
