freqs [eV],Lambda [1/ps]
0.000000,0.000833
0.002500,0.000753
0.005000,0.000485
0.007500,-0.000049
0.010000,-0.000962
0.012500,-0.002370
0.015000,-0.004348
0.017500,-0.006880
0.020000,-0.009820
0.022500,-0.012880
0.025000,-0.015664
0.027500,-0.017733
0.030000,-0.018704
0.032500,-0.018347
0.035000,-0.016644
0.037500,-0.013820
0.040000,-0.010320
0.042500,-0.006757
0.045000,-0.003850
0.047500,-0.002351
0.050000,-0.002954
0.052500,-0.006186
0.055000,-0.012248
0.057500,-0.020850
0.060000,-0.031096
0.062500,-0.041509
0.065000,-0.050263
0.067500,-0.055607
0.070000,-0.056364
0.072500,-0.052332
0.075000,-0.044410
0.077500,-0.034368
0.080000,-0.024348
0.082500,-0.016252
0.085000,-0.011262
0.087500,-0.009629
0.090000,-0.010772
0.092500,-0.013594
0.095000,-0.016871
0.097500,-0.019566
0.100000,-0.020995
0.102500,-0.020851
0.105000,-0.019124
0.107500,-0.016023
0.110000,-0.011910
0.112500,-0.007276
0.115000,-0.002715
0.117500,0.001116
0.120000,0.003579
0.122500,0.004154
0.125000,0.002539
0.127500,-0.001270
0.130000,-0.006918
0.132500,-0.013685
0.135000,-0.020546
0.137500,-0.026332
0.140000,-0.029982
0.142500,-0.030823
0.145000,-0.028790
0.147500,-0.024487
0.150000,-0.019076
0.152500,-0.014014
0.155000,-0.010734
0.157500,-0.010355
0.160000,-0.013483
0.162500,-0.020125
0.165000,-0.029719
0.167500,-0.041267
0.170000,-0.053539
0.172500,-0.065291
0.175000,-0.075441
0.177500,-0.083162
0.180000,-0.087893
0.182500,-0.089318
0.185000,-0.087356
0.187500,-0.082170
0.190000,-0.074194
0.192500,-0.064093
0.195000,-0.052676
0.197500,-0.040740
0.200000,-0.028947
0.202500,-0.017767
0.205000,-0.007518
0.207500,0.001533
0.210000,0.009081
0.212500,0.014766
0.215000,0.018230
0.217500,0.019232
0.220000,0.017762
0.222500,0.014105
0.225000,0.008858
0.227500,0.002898
0.230000,-0.002704
0.232500,-0.006805
0.235000,-0.008390
0.237500,-0.006795
0.240000,-0.001935
0.242500,0.005591
0.245000,0.014553
0.247500,0.023335
0.250000,0.030302
0.252500,0.034186
0.255000,0.034389
0.257500,0.031117
0.260000,0.025335
0.262500,0.018560
0.265000,0.012526
0.267500,0.008807
0.270000,0.008471
0.272500,0.011850
0.275000,0.018485
0.277500,0.027258
0.280000,0.036678
0.282500,0.045237
0.285000,0.051716
0.287500,0.055385
0.290000,0.056026
0.292500,0.053826
0.295000,0.049218
0.297500,0.042722
0.300000,0.034874
0.302500,0.026207
0.305000,0.017249
0.307500,0.008516
0.310000,0.000472
0.312500,-0.006510
0.315000,-0.012159
0.317500,-0.016281
0.320000,-0.018744
0.322500,-0.019482
0.325000,-0.018564
0.327500,-0.016270
0.330000,-0.013151
0.332500,-0.010014
0.335000,-0.007818
0.337500,-0.007500
0.340000,-0.009787
0.342500,-0.015000
0.345000,-0.022929
0.347500,-0.032776
0.350000,-0.043212
0.352500,-0.052559
0.355000,-0.059068
0.357500,-0.061250
0.360000,-0.058179
0.362500,-0.049689
0.365000,-0.036421
0.367500,-0.019728
0.370000,-0.001457
0.372500,0.016312
0.375000,0.031557
0.377500,0.042571
0.380000,0.048192
0.382500,0.047967
0.385000,0.042230
0.387500,0.032048
0.390000,0.019040
0.392500,0.005081
0.395000,-0.008051
0.397500,-0.018973
0.400000,-0.026902
0.402500,-0.031696
0.405000,-0.033745
0.407500,-0.033769
0.410000,-0.032574
0.412500,-0.030839
0.415000,-0.028978
0.417500,-0.027096
0.420000,-0.025042
0.422500,-0.022526
0.425000,-0.019256
0.427500,-0.015053
0.430000,-0.009921
0.432500,-0.004059
0.435000,0.002151
0.437500,0.008172
0.440000,0.013344
0.442500,0.016937
0.445000,0.018237
0.447500,0.016695
0.450000,0.012103
0.452500,0.004766
0.455000,-0.004408
0.457500,-0.013957
0.460000,-0.022074
0.462500,-0.026961
0.465000,-0.027230
0.467500,-0.022256
0.470000,-0.012355
0.472500,0.001264
0.475000,0.016780
0.477500,0.032177
0.480000,0.045689
0.482500,0.056126
0.485000,0.062997
0.487500,0.066427
0.490000,0.066915
0.492500,0.065075
0.495000,0.061440
0.497500,0.056386
0.500000,0.050168
0.502500,0.042984
0.505000,0.035022
0.507500,0.026455
0.510000,0.017400
