freqs [eV],Lambda [1/ps]
0.000000,-0.000698
0.002500,-0.000398
0.005000,0.000545
0.007500,0.002248
0.010000,0.004869
0.012500,0.008547
0.015000,0.013325
0.017500,0.019055
0.020000,0.025336
0.022500,0.031513
0.025000,0.036777
0.027500,0.040393
0.030000,0.042006
0.032500,0.041974
0.035000,0.041566
0.037500,0.042900
0.040000,0.048521
0.042500,0.060648
0.045000,0.080282
0.047500,0.106503
0.050000,0.136289
0.052500,0.165037
0.055000,0.187677
0.057500,0.200029
0.060000,0.199907
0.062500,0.187601
0.065000,0.165622
0.067500,0.137888
0.070000,0.108692
0.072500,0.081813
0.075000,0.059956
0.077500,0.044581
0.080000,0.036024
0.082500,0.033767
0.085000,0.036732
0.087500,0.043508
0.090000,0.052508
0.092500,0.062088
0.095000,0.070684
0.097500,0.076996
0.100000,0.080207
0.102500,0.080158
0.105000,0.077388
0.107500,0.072992
0.110000,0.068301
0.112500,0.064504
0.115000,0.062318
0.117500,0.061863
0.120000,0.062756
0.122500,0.064367
0.125000,0.066112
0.127500,0.067629
0.130000,0.068768
0.132500,0.069437
0.135000,0.069429
0.137500,0.068376
0.140000,0.065915
0.142500,0.061994
0.145000,0.057191
0.147500,0.052823
0.150000,0.050763
0.152500,0.052986
0.155000,0.061006
0.157500,0.075399
0.160000,0.095590
0.162500,0.119923
0.165000,0.145981
0.167500,0.171026
0.170000,0.192446
0.172500,0.208114
0.175000,0.216626
0.177500,0.217409
0.180000,0.210711
0.182500,0.197501
0.185000,0.179300
0.187500,0.157947
0.190000,0.135317
0.192500,0.113041
0.195000,0.092277
0.197500,0.073611
0.200000,0.057112
0.202500,0.042492
0.205000,0.029334
0.207500,0.017290
0.210000,0.006223
0.212500,-0.003720
0.215000,-0.012105
0.217500,-0.018282
0.220000,-0.021518
0.222500,-0.021209
0.225000,-0.017088
0.227500,-0.009412
0.230000,0.000976
0.232500,0.012719
0.235000,0.024153
0.237500,0.033611
0.240000,0.039742
0.242500,0.041779
0.245000,0.039675
0.247500,0.034107
0.250000,0.026309
0.252500,0.017806
0.255000,0.010078
0.257500,0.004236
0.260000,0.000775
0.262500,-0.000526
0.265000,-0.000545
0.267500,-0.000594
0.270000,-0.002084
0.272500,-0.006160
0.275000,-0.013383
0.277500,-0.023516
0.280000,-0.035488
0.282500,-0.047525
0.285000,-0.057467
0.287500,-0.063222
0.290000,-0.063244
0.292500,-0.056928
0.295000,-0.044766
0.297500,-0.028222
0.300000,-0.009333
0.302500,0.009786
0.305000,0.027379
0.307500,0.042278
0.310000,0.053903
0.312500,0.062126
0.315000,0.067107
0.317500,0.069200
0.320000,0.068926
0.322500,0.066956
0.325000,0.064040
0.327500,0.060881
0.330000,0.057985
0.332500,0.055596
0.335000,0.053743
0.337500,0.052399
0.340000,0.051679
0.342500,0.051960
0.345000,0.053847
0.347500,0.057949
0.350000,0.064548
0.352500,0.073275
0.355000,0.082932
0.357500,0.091572
0.360000,0.096833
0.362500,0.096466
0.365000,0.088907
0.367500,0.073753
0.370000,0.051992
0.372500,0.025944
0.375000,-0.001095
0.377500,-0.025416
0.380000,-0.043562
0.382500,-0.052958
0.385000,-0.052387
0.387500,-0.042227
0.390000,-0.024384
0.392500,-0.001936
0.395000,0.021464
0.397500,0.042334
0.400000,0.058085
0.402500,0.067534
0.405000,0.071070
0.407500,0.070375
0.410000,0.067800
0.412500,0.065583
0.415000,0.065181
0.417500,0.066927
0.420000,0.070080
0.422500,0.073183
0.425000,0.074574
0.427500,0.072875
0.430000,0.067359
0.432500,0.058152
0.435000,0.046241
0.437500,0.033310
0.440000,0.021393
0.442500,0.012454
0.445000,0.007972
0.447500,0.008662
0.450000,0.014368
0.452500,0.024128
0.455000,0.036335
0.457500,0.048945
0.460000,0.059724
0.462500,0.066546
0.465000,0.067756
0.467500,0.062521
0.470000,0.051081
0.472500,0.034762
0.475000,0.015703
0.477500,-0.003640
0.480000,-0.021064
0.482500,-0.035073
0.485000,-0.045059
0.487500,-0.051185
0.490000,-0.054047
0.492500,-0.054281
0.495000,-0.052308
0.497500,-0.048291
0.500000,-0.042284
0.502500,-0.034429
0.505000,-0.025045
0.507500,-0.014538
0.510000,-0.003217
0.512500,0.008850
0.515000,0.021792
0.517500,0.035716
0.520000,0.050455
0.522500,0.065461
0.525000,0.079952
0.527500,0.093245
0.530000,0.105080
0.532500,0.115748
0.535000,0.125941
0.537500,0.136377
0.540000,0.147366
0.542500,0.158492
0.545000,0.168526
0.547500,0.175599
0.550000,0.177620
0.552500,0.172817
0.555000,0.160274
0.557500,0.140288
0.560000,0.114412
0.562500,0.085155
0.565000,0.055423
0.567500,0.027882
0.570000,0.004457
0.572500,-0.013913
0.575000,-0.027226
0.577500,-0.036159
0.580000,-0.041716
0.582500,-0.044883
0.585000,-0.046383
0.587500,-0.046548
0.590000,-0.045322
0.592500,-0.042379
0.595000,-0.037310
0.597500,-0.029806
0.600000,-0.019789
0.602500,-0.007446
0.605000,0.006802
0.607500,0.022357
0.610000,0.038487
0.612500,0.054349
0.615000,0.069042
0.617500,0.081722
0.620000,0.091787
0.622500,0.099074
0.625000,0.103959
0.627500,0.107274
0.630000,0.110023
0.632500,0.112974
0.635000,0.116276
0.637500,0.119270
0.640000,0.120596
0.642500,0.118594
0.645000,0.111866
0.647500,0.099790
0.650000,0.082786
0.652500,0.062195
0.655000,0.039846
0.657500,0.017494
0.660000,-0.003592
0.662500,-0.022725
0.665000,-0.039550
0.667500,-0.053647
0.670000,-0.064228
0.672500,-0.070142
0.675000,-0.070200
0.677500,-0.063647
0.680000,-0.050556
0.682500,-0.031935
0.685000,-0.009533
0.687500,0.014547
0.690000,0.038249
0.692500,0.059818
0.695000,0.077899
0.697500,0.091519
0.700000,0.100057
0.702500,0.103250
0.705000,0.101216
0.707500,0.094445
0.710000,0.083711
0.712500,0.069913
0.715000,0.053924
0.717500,0.036526
0.720000,0.018462
0.722500,0.000586
0.725000,-0.016000
0.727500,-0.029933
0.730000,-0.039757
0.732500,-0.044250
0.735000,-0.042803
0.737500,-0.035684
0.740000,-0.024080
0.742500,-0.009863
0.745000,0.004832
0.747500,0.018098
0.750000,0.028636
0.752500,0.035929
0.755000,0.040173
0.757500,0.042040
0.760000,0.042370
0.762500,0.041919
0.765000,0.041221
0.767500,0.040587
0.770000,0.040200
0.772500,0.040235
0.775000,0.040916
0.777500,0.042497
0.780000,0.045153
0.782500,0.048852
0.785000,0.053294
0.787500,0.057986
0.790000,0.062431
0.792500,0.066385
0.795000,0.070043
0.797500,0.074053
0.800000,0.079302
0.802500,0.086541
0.805000,0.095986
0.807500,0.107065
0.810000,0.118447
0.812500,0.128328
0.815000,0.134904
0.817500,0.136825
0.820000,0.133483
0.822500,0.125060
0.825000,0.112368
0.827500,0.096577
0.830000,0.078987
0.832500,0.060881
0.835000,0.043508
0.837500,0.028089
0.840000,0.015785
0.842500,0.007573
0.845000,0.004018
